trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,adj_factor,ma3,ma_v_3,ma5,ma_v_5,ma10,ma_v_10,ma15,ma_v_15,ma20,ma_v_20,ma30,ma_v_30,ma50,ma_v_50,ma60,ma_v_60,ma75,ma_v_75,ma90,ma_v_90,ma120,ma_v_120,ma150,ma_v_150,ma200,ma_v_200
20221202,000001.SZ,1497.1217,1498.261,1445.8504,1469.777,1492.5642,-22.787199999999984,-1.5267,1404202.78,1803658.762,0.7236,0.54,113.9362,1482.31,2205506.6367,1454.5095,2539471.872,1399.9341,1904152.383,1381.8942,1848356.1733,1349.2895,1661292.264,1301.835,1517078.0507,1318.5153,1223463.5718,1338.4655,1210904.9138,1354.2001,1194512.5768,1364.981,1144048.2422,1421.8703,1174283.5557,1464.1965,1137057.5524,1534.1955,1134859.7339
20221201,000001.SZ,1524.4664,1556.3685,1489.1461,1492.5642,1484.5887,7.975500000000011,0.5372,2002688.83,2658203.027,1.032,0.85,113.9362,1485.728,3320531.21,1437.8748,2610776.95,1385.0085,1850541.434,1370.7285,1924414.0247,1337.4401,1679887.7365,1294.9609,1496457.101,1317.7405,1222528.4724,1337.9148,1201867.9,1353.3646,1194447.2545,1364.8291,1150339.1879,1423.0061,1176189.377,1466.3811,1133838.0277,1536.2817,1133094.5283
20221130,000001.SZ,1469.777,1519.9089,1460.6621,1484.5887,1480.0312,4.557500000000118,0.3079,3209628.3,4206404.173,1.654,1.62,113.9362,1436.7355,3096822.5833,1407.5678,2369582.948,1368.9435,1759377.267,1353.7899,1827702.8487,1322.2866,1628930.0755,1287.7449,1455764.9143,1317.5126,1219295.0534,1337.2502,1196040.4458,1351.7847,1176851.7129,1364.8965,1136992.186,1423.7749,1169046.3137,1468.2273,1125219.3766,1538.2371,1131854.5605
20221129,000001.SZ,1385.4642,1480.0312,1382.0461,1480.0312,1345.5865,134.4447,9.9915,4749276.5,6026006.642,2.4474,3.58,113.9362,1404.0738,2613855.8733,1379.9953,1977188.594,1355.1572,1566283.725,1337.535,1669201.4187,1308.6142,1533598.0695,1281.1366,1379576.9603,1316.829,1172263.2042,1336.2058,1155875.1805,1350.4022,1141502.6365,1365.0899,1109725.1727,1424.6101,1153258.6831,1470.1565,1108598.8898,1539.9861,1123383.8006
20221128,000001.SZ,1355.8408,1358.1195,1331.9142,1345.5865,1386.6036,-41.01710000000003,-2.9581,1331562.95,1568351.12,0.6862,1.05,113.9362,1357.7397,1296336.6467,1353.3342,1325598.07,1343.9914,1248746.209,1321.2802,1391464.4553,1295.3976,1365195.951,1275.4018,1252828.98,1316.7379,1111731.472,1335.1234,1092128.7497,1349.2021,1085538.9457,1365.2966,1069772.165,1425.4927,1127938.4768,1472.0862,1082415.5297,1541.4446,1108015.2364
20221125,000001.SZ,1343.3078,1393.4397,1341.0291,1386.6036,1341.0291,45.574499999999944,3.3985,1760728.17,2130171.605,0.9073,1.61,113.9362,1358.1195,1268367.84,1345.3587,1268832.894,1345.5865,1502798.324,1314.2161,1368565.728,1287.0233,1347772.588,1274.1485,1242604.3053,1318.8115,1124126.1592,1336.6425,1085396.6048,1349.9617,1077988.7447,1366.8107,1072739.6589,1427.2904,1125002.6874,1474.9793,1080784.3605,1543.8383,1106480.6372
20221124,000001.SZ,1358.1195,1366.095,1331.9142,1341.0291,1346.7259,-5.696799999999939,-0.423,796718.82,941002.373,0.4106,0.69,113.9362,1344.827,1178566.41,1332.1421,1090305.918,1337.1553,1581232.562,1303.9619,1369591.332,1277.0539,1312633.53,1271.7179,1220448.7523,1319.2445,1101333.9342,1337.4971,1073784.6455,1349.9465,1062548.044,1368.0306,1082421.8,1428.8675,1117374.1108,1477.987,1077257.9129,1546.2228,1102601.8725
20221123,000001.SZ,1342.1684,1372.9312,1335.3323,1346.7259,1346.7259,0.0,0.0,1247656.53,1483352.652,0.6429,1.08,113.9362,1333.0536,1262239.16,1330.3191,1149171.586,1326.901,1556762.799,1293.8595,1382045.7847,1270.8444,1320666.762,1270.0848,1222311.9907,1320.5206,1104995.814,1338.6934,1082095.5873,1350.3415,1061873.6135,1370.503,1097747.1027,1430.8991,1118558.6919,1481.015,1078143.887,1548.9471,1104084.6982
20221122,000001.SZ,1305.7089,1359.2589,1303.4301,1346.7259,1305.7089,41.016999999999825,3.1414,1491323.88,1748727.407,0.7685,1.27,113.9362,1324.3185,1135718.08,1330.3191,1155378.856,1316.3049,1515207.831,1284.8206,1385734.5613,1264.2361,1315475.4295,1269.2493,1199375.854,1322.0701,1094668.5832,1339.6808,1076659.0297,1351.0099,1063544.9837,1373.4718,1092138.5014,1432.8085,1115635.7311,1483.826,1075763.6972,1551.8388,1102220.2699
20221121,000001.SZ,1307.9876,1310.2663,1278.3642,1305.7089,1320.5206,-14.811699999999973,-1.1217,1047737.07,1189388.618,0.5399,0.6,113.9362,1319.3812,1002292.5067,1334.6487,1171894.348,1305.2531,1424397.648,1276.0855,1378395.2447,1257.5708,1306758.2055,1267.958,1163506.837,1323.7791,1077482.9052,1340.9721,1070771.5747,1351.9214,1057337.1015,1376.4903,1082364.8132,1434.8113,1109233.5882,1486.7265,1072749.9475,1554.8144,1102172.0652
