trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,adj_factor,ma3,ma_v_3,ma5,ma_v_5,ma10,ma_v_10,ma15,ma_v_15,ma20,ma_v_20,ma30,ma_v_30,ma50,ma_v_50,ma60,ma_v_60,ma75,ma_v_75,ma90,ma_v_90,ma120,ma_v_120,ma150,ma_v_150,ma200,ma_v_200
20221202,000001.SZ,13.14,13.15,12.69,12.9,13.1,-0.1999999999999993,-1.5267,1404202.78,1803658.762,0.7236,0.54,113.9362,13.01,2205506.6367,12.766,2539471.872,12.287,1904152.383,12.1287,1848356.1733,11.8425,1661292.264,11.426,1517078.0507,11.5724,1223463.5718,11.7475,1210904.9138,11.8856,1194512.5768,11.9802,1144048.2422,12.4795,1174283.5557,12.851,1137057.5524,13.4654,1134859.7339
20221201,000001.SZ,13.38,13.66,13.07,13.1,13.03,0.07000000000000028,0.5372,2002688.83,2658203.027,1.032,0.85,113.9362,13.04,3320531.21,12.62,2610776.95,12.156,1850541.434,12.0307,1924414.0247,11.7385,1679887.7365,11.3657,1496457.101,11.5656,1222528.4724,11.7427,1201867.9,11.8783,1194447.2545,11.9789,1150339.1879,12.4895,1176189.377,12.8702,1133838.0277,13.4837,1133094.5283
20221130,000001.SZ,12.9,13.34,12.82,13.03,12.99,0.03999999999999915,0.3079,3209628.3,4206404.173,1.654,1.62,113.9362,12.61,3096822.5833,12.354,2369582.948,12.015,1759377.267,11.882,1827702.8487,11.6055,1628930.0755,11.3023,1455764.9143,11.5636,1219295.0534,11.7368,1196040.4458,11.8644,1176851.7129,11.9795,1136992.186,12.4962,1169046.3137,12.8864,1125219.3766,13.5009,1131854.5605
20221129,000001.SZ,12.16,12.99,12.13,12.99,11.81,1.1799999999999997,9.9915,4749276.5,6026006.642,2.4474,3.58,113.9362,12.3233,2613855.8733,12.112,1977188.594,11.894,1566283.725,11.7393,1669201.4187,11.4855,1533598.0695,11.2443,1379576.9603,11.5576,1172263.2042,11.7277,1155875.1805,11.8523,1141502.6365,11.9812,1109725.1727,12.5036,1153258.6831,12.9033,1108598.8898,13.5162,1123383.8006
20221128,000001.SZ,11.9,11.92,11.69,11.81,12.17,-0.35999999999999943,-2.9581,1331562.95,1568351.12,0.6862,1.05,113.9362,11.9167,1296336.6467,11.878,1325598.07,11.796,1248746.209,11.5967,1391464.4553,11.3695,1365195.951,11.194,1252828.98,11.5568,1111731.472,11.7182,1092128.7497,11.8417,1085538.9457,11.983,1069772.165,12.5113,1127938.4768,12.9203,1082415.5297,13.529,1108015.2364
20221125,000001.SZ,11.79,12.23,11.77,12.17,11.77,0.40000000000000036,3.3985,1760728.17,2130171.605,0.9073,1.61,113.9362,11.92,1268367.84,11.808,1268832.894,11.81,1502798.324,11.5347,1368565.728,11.296,1347772.588,11.183,1242604.3053,11.575,1124126.1592,11.7315,1085396.6048,11.8484,1077988.7447,11.9963,1072739.6589,12.5271,1125002.6874,12.9457,1080784.3605,13.55,1106480.6372
20221124,000001.SZ,11.92,11.99,11.69,11.77,11.82,-0.05000000000000071,-0.423,796718.82,941002.373,0.4106,0.69,113.9362,11.8033,1178566.41,11.692,1090305.918,11.736,1581232.562,11.4447,1369591.332,11.2085,1312633.53,11.1617,1220448.7523,11.5788,1101333.9342,11.739,1073784.6455,11.8483,1062548.044,12.007,1082421.8,12.5409,1117374.1108,12.9721,1077257.9129,13.571,1102601.8725
20221123,000001.SZ,11.78,12.05,11.72,11.82,11.82,0.0,0.0,1247656.53,1483352.652,0.6429,1.08,113.9362,11.7,1262239.16,11.676,1149171.586,11.646,1556762.799,11.356,1382045.7847,11.154,1320666.762,11.1473,1222311.9907,11.59,1104995.814,11.7495,1082095.5873,11.8517,1061873.6135,12.0287,1097747.1027,12.5588,1118558.6919,12.9986,1078143.887,13.5949,1104084.6982
20221122,000001.SZ,11.46,11.93,11.44,11.82,11.46,0.35999999999999943,3.1414,1491323.88,1748727.407,0.7685,1.27,113.9362,11.6233,1135718.08,11.676,1155378.856,11.553,1515207.831,11.2767,1385734.5613,11.096,1315475.4295,11.14,1199375.854,11.6036,1094668.5832,11.7582,1076659.0297,11.8576,1063544.9837,12.0547,1092138.5014,12.5755,1115635.7311,13.0233,1075763.6972,13.6202,1102220.2699
20221121,000001.SZ,11.48,11.5,11.22,11.46,11.59,-0.129999999999999,-1.1217,1047737.07,1189388.618,0.5399,0.6,113.9362,11.58,1002292.5067,11.714,1171894.348,11.456,1424397.648,11.2,1378395.2447,11.0375,1306758.2055,11.1287,1163506.837,11.6186,1077482.9052,11.7695,1070771.5747,11.8656,1057337.1015,12.0812,1082364.8132,12.5931,1109233.5882,13.0488,1072749.9475,13.6464,1102172.0652
20221118,000001.SZ,11.74,11.78,11.57,11.59,11.69,-0.09999999999999964,-0.8554,868093.29,1011078.68,0.4473,0.42,113.9362,11.7,1079277.7767,11.812,1736763.754,11.398,1418432.145,11.1253,1374085.8193,10.9955,1323540.8845,11.129,1160784.9407,11.6396,1072255.42,11.788,1088416.2442,11.8819,1054453.9068,12.1126,1077831.0483,12.6138,1108930.0923,13.0775,1075209.9361,13.6742,1112089.3487
20221117,000001.SZ,11.81,11.84,11.58,11.69,11.82,-0.13000000000000078,-1.0998,1091047.16,1273790.881,0.5622,0.56,113.9362,11.84,1314547.1267,11.78,2072159.206,11.321,1509234.039,11.0473,1386742.734,10.9705,1319414.9345,11.1373,1149756.1707,11.66,1072133.1932,11.799,1095109.705,11.8991,1052883.9499,12.1412,1076298.4671,12.635,1106722.8838,13.1076,1076534.5105,13.6973,1112690.8416
20221116,000001.SZ,11.97,12.05,11.79,11.82,12.01,-0.1899999999999995,-1.582,1278692.88,1519133.932,0.6589,0.68,113.9362,11.9267,2241559.44,11.616,1964354.012,11.196,1498482.884,10.98,1377831.8207,10.946,1303958.738,11.143,1143978.5333,11.6812,1083373.0816,11.8108,1099400.6953,11.9137,1050655.5088,12.1699,1075768.3346,12.6554,1105410.4663,13.1363,1080321.2931,13.72,1113000.4773
20221115,000001.SZ,11.86,12.18,11.83,12.01,11.95,0.0600000000000005,0.5021,1573901.34,1891249.648,0.8111,0.94,113.9362,11.7967,2663685.33,11.43,1875036.806,11.077,1500912.414,10.9027,1368840.954,10.9195,1286223.578,11.1527,1127386.29,11.6944,1073793.4716,11.816,1088609.5423,11.9283,1047260.2545,12.2013,1073951.437,12.6783,1100152.4083,13.1648,1088386.9409,13.7405,1112325.46
20221114,000001.SZ,11.7,12.28,11.7,11.95,11.43,0.5199999999999996,4.5494,3872084.1,4637823.414,1.9953,3.52,113.9362,11.4167,2323058.6133,11.198,1676900.948,10.943,1481645.693,10.812,1351712.8247,10.893,1254870.3655,11.1573,1101243.655,11.7026,1060805.2578,11.8177,1081911.3533,11.9391,1036460.9808,12.2309,1065741.0673,12.7012,1094941.5452,13.1879,1087793.4569,13.7607,1114971.4279
20221111,000001.SZ,11.13,11.66,11.01,11.43,10.87,0.5600000000000005,5.1518,2545070.55,2878557.392,1.3115,2.69,113.9362,11.0633,1309732.8633,10.984,1100100.536,10.782,1192746.852,10.7233,1185799.928,10.8695,1112507.296,11.159,1002298.4863,11.7158,1001916.261,11.8248,1031051.6777,11.9505,1003186.656,12.261,1031376.1698,12.7213,1067598.5254,13.209,1069737.8745,13.7843,1100158.1206
20221110,000001.SZ,10.79,10.9,10.69,10.87,10.89,-0.02000000000000135,-0.1837,552021.19,596916.589,0.2845,0.53,113.9362,10.87,655783.3633,10.862,946308.872,10.681,1044034.498,10.7007,1068500.1773,10.8745,1040056.8475,11.1877,937010.8367,11.7396,972295.0622,11.8402,1011955.562,11.9685,995524.2205,12.2975,1020305.886,12.7468,1052877.7569,13.2324,1061016.0145,13.8107,1094943.5857
20221109,000001.SZ,10.84,11.08,10.82,10.89,10.85,0.040000000000000924,0.3687,832106.85,911153.622,0.4288,0.74,113.9362,10.8733,801136.98,10.776,1032611.756,10.662,1084570.725,10.7227,1083826.98,10.898,1055086.5865,11.235,938147.9097,11.7702,987162.145,11.86,1014138.929,11.999,998850.0535,12.3365,1028245.0648,12.7766,1056039.3003,13.256,1061440.1609,13.8418,1100093.4767
20221108,000001.SZ,10.89,10.92,10.78,10.85,10.88,-0.030000000000001137,-0.2757,583222.05,632835.805,0.3005,0.45,113.9362,10.85,1115805.44,10.724,1126788.022,10.639,1115743.028,10.7493,1089952.502,10.9335,1041459.8655,11.2863,933217.5943,11.7992,988949.2694,11.8805,1009577.941,12.0295,997829.9235,12.3752,1031500.6607,12.8038,1054673.6417,13.2807,1060740.3619,13.8718,1100481.8125
20221107,000001.SZ,10.81,10.91,10.73,10.88,10.82,0.0600000000000005,0.5545,988082.04,1070554.833,0.5092,0.77,113.9362,10.7133,1249243.2933,10.688,1286390.438,10.619,1189118.763,10.7913,1114193.5047,10.965,1033061.4315,11.336,943443.1437,11.8322,1000046.36,11.903,1009057.5683,12.0603,1005433.7069,12.4128,1041656.8399,12.833,1055449.3905,13.3064,1061805.1039,13.902,1103198.8557
20221104,000001.SZ,10.4,10.85,10.39,10.82,10.44,0.3800000000000008,3.6398,1776112.23,1903720.944,0.9153,1.56,113.9362,10.63,1354212.0067,10.58,1285393.168,10.593,1228649.624,10.8313,1116642.8827,10.9945,1031961.3385,11.3923,931577.777,11.866,1022413.064,11.9268,1005344.4988,12.0886,1013574.4451,12.4472,1040300.824,12.8601,1052924.2421,13.3335,1061900.2899,13.9317,1103797.8715
20221103,000001.SZ,10.54,10.57,10.38,10.44,10.63,-0.19000000000000128,-1.7874,983535.61,1028904.286,0.5068,0.87,113.9362,10.58,1222585.9733,10.5,1141760.124,10.62,1129595.83,10.8787,1071306.1727,11.0455,970017.2365,11.4503,917622.2963,11.8946,1012284.8382,11.9492,985787.222,12.1195,1024987.8936,12.482,1029522.1107,12.8897,1045194.7537,13.3596,1057060.2243,13.9619,1104727.3012
20221102,000001.SZ,10.61,10.68,10.48,10.63,10.67,-0.03999999999999915,-0.3749,1302988.18,1377816.22,0.6715,1.18,113.9362,10.5467,1222439.3333,10.548,1136529.694,10.696,1109434.592,10.9387,1062578.1967,11.1165,966726.358,11.5357,946205.0387,11.9338,1019584.2576,11.9757,981830.5707,12.1632,1040887.3663,12.5197,1030327.7808,12.9221,1045267.6654,13.3894,1061361.0307,13.9915,1105655.9198
20221101,000001.SZ,10.38,10.68,10.36,10.67,10.34,0.33000000000000007,3.1915,1381234.13,1459758.367,0.7118,1.27,113.9362,10.4767,1140758.9433,10.554,1104698.034,10.762,1071534.742,11.0033,1013017.1467,11.1905,940623.228,11.6057,931373.294,11.9638,1006148.968,12.0028,982997.5893,12.2104,1033419.2895,12.5584,1030536.7341,12.9526,1041231.2752,13.414,1060733.5632,14.0193,1107894.7833
20221031,000001.SZ,10.33,10.45,10.22,10.34,10.42,-0.08000000000000007,-0.7678,983095.69,1016230.012,0.5066,0.84,113.9362,10.48,999475.3867,10.55,1091847.088,10.843,1028095.038,11.0573,948618.4293,11.2645,911042.636,11.6817,942755.1527,11.9926,1001964.4854,12.032,977072.5657,12.2575,1023158.7269,12.5964,1026658.2082,12.9862,1036657.9226,13.4392,1061717.3832,14.0486,1104971.9307
20221028,000001.SZ,10.63,10.7,10.41,10.42,10.68,-0.2599999999999998,-2.4345,1057947.01,1114999.302,0.5452,0.95,113.9362,10.5867,1053053.45,10.606,1171906.08,10.957,1032267.74,11.1327,947484.062,11.3475,907074.3035,11.761,975028.54,12.0334,998712.6428,12.071,974545.9287,12.3101,1018580.0941,12.6392,1027443.6777,13.0254,1035050.4268,13.4649,1066697.1547,14.0791,1107403.3222
20221027,000001.SZ,10.7,10.77,10.66,10.68,10.66,0.019999999999999574,0.1876,957383.46,1024868.047,0.4934,0.88,113.9362,10.6633,1139397.58,10.74,1117431.536,11.068,1036079.197,11.2273,912769.6073,11.441,883499.006,11.8257,960467.537,12.072,1005539.7748,12.112,969419.2538,12.36,1014209.6137,12.681,1030494.781,13.064,1039942.6441,13.4891,1069856.0351,14.1114,1107746.7817
20221026,000001.SZ,10.64,10.73,10.61,10.66,10.65,0.009999999999999787,0.0939,1143829.88,1220733.278,0.5894,1.1,113.9362,10.6433,1281399.9767,10.844,1082339.49,11.134,1025602.448,11.306,910125.246,11.5215,864936.502,11.8807,961215.182,12.0996,1000052.5698,12.1472,968861.4308,12.4079,1015355.6373,12.7232,1057785.4504,13.1031,1039562.5475,13.5075,1075349.5378,14.1425,1106615.4593
20221025,000001.SZ,10.7,10.81,10.6,10.65,10.62,0.030000000000001137,0.2825,1316979.4,1406437.766,0.6787,1.37,113.9362,10.7867,1161981.4467,10.97,1038371.45,11.228,967176.703,11.4027,885931.626,11.61,841954.8775,11.942,947464.019,12.1288,988344.9236,12.1847,966865.0797,12.4611,1014973.5336,12.7589,1057869.8894,13.1424,1042449.7571,13.5313,1075180.0542,14.1743,1103337.5673
20221024,000001.SZ,11.09,11.1,10.61,10.62,11.09,-0.47000000000000064,-4.2381,1383390.65,1496043.94,0.7129,1.55,113.9362,10.97,983629.39,11.136,964342.988,11.311,877004.1,11.5027,850774.4853,11.6945,820605.334,12.006,924632.705,12.1598,973045.3294,12.2208,957648.0198,12.5147,1008546.7159,12.7924,1060434.0389,13.1742,1039710.0084,13.5579,1076357.838,14.2061,1102050.55
20221021,000001.SZ,11.21,11.25,11.07,11.09,11.2,-0.10999999999999943,-0.9821,785574.29,876648.491,0.4048,0.82,113.9362,11.1933,830495.7333,11.308,892629.4,11.396,835273.053,11.5947,818797.0447,11.792,783041.8535,12.069,904731.777,12.1936,960683.4738,12.2573,957533.338,12.5685,1000491.4181,12.8307,1060018.724,13.2073,1042052.4278,13.5825,1082129.6214,14.2384,1100018.2355
20221020,000001.SZ,11.23,11.31,11.16,11.2,11.29,-0.08999999999999986,-0.7972,781923.23,876967.151,0.4029,0.81,113.9362,11.3233,884250.0,11.396,954726.858,11.471,810438.643,11.6747,805521.496,11.8655,811635.5295,12.1197,907278.699,12.215,957025.5004,12.2855,977280.2313,12.6169,1010667.0277,12.8641,1069433.469,13.2463,1043183.2594,13.5992,1088897.5273,14.2693,1100559.0343
20221019,000001.SZ,11.42,11.49,11.28,11.29,11.48,-0.19000000000000128,-1.6551,923989.68,1049700.767,0.4761,1.03,113.9362,11.4167,965216.4933,11.424,968865.406,11.537,824018.124,11.7473,792468.8393,11.9555,864590.262,12.1713,936315.9773,12.2316,956309.7664,12.3181,977605.8218,12.6593,1017128.6817,12.8942,1073473.4469,13.2824,1042582.9922,13.6183,1090371.5903,14.2994,1100381.5942
20221018,000001.SZ,11.55,11.64,11.46,11.48,11.48,0.0,0.0,946837.09,1091646.644,0.4879,1.2,113.9362,11.4967,1022573.7933,11.486,895981.956,11.619,809711.714,11.8233,776482.6867,12.0275,861292.57,12.211,932173.4007,12.251,965290.1588,12.3496,974799.2788,12.7004,1019810.2924,12.9233,1077819.2573,13.3181,1040854.3722,13.6394,1091632.7191,14.3292,1098773.4941
