trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma3,ma_v_3,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma90,ma_v_90,ma120,ma_v_120
20221118,000001.SZ,11.74,11.78,11.57,11.59,11.69,-0.1,-0.8554,868093.29,1011078.68,0.4473,0.42,11.7,1079277.7767,11.812,1736763.754,11.398,1418432.145,10.9955,1323540.8845,11.129,1160784.9407,11.788,1088416.2442,12.1396,1077831.0483,12.6975,1108930.0923
20221117,000001.SZ,11.81,11.84,11.58,11.69,11.82,-0.13,-1.0998,1091047.16,1273790.881,0.5622,0.56,11.84,1314547.1267,11.78,2072159.206,11.321,1509234.039,10.9705,1319414.9345,11.1373,1149756.1707,11.799,1095109.705,12.171,1076298.4671,12.7208,1106722.8838
20221116,000001.SZ,11.97,12.05,11.79,11.82,12.01,-0.19,-1.582,1278692.88,1519133.932,0.6589,0.68,11.9267,2241559.44,11.616,1964354.012,11.196,1498482.884,10.946,1303958.738,11.143,1143978.5333,11.8108,1099400.6953,12.2026,1075768.3346,12.7434,1105410.4663
20221115,000001.SZ,11.86,12.18,11.83,12.01,11.95,0.06,0.5021,1573901.34,1891249.648,0.8111,0.94,11.7967,2663685.33,11.43,1875036.806,11.077,1500912.414,10.9195,1286223.578,11.1527,1127386.29,11.816,1088609.5423,12.2369,1073951.437,12.7685,1100152.4082
20221114,000001.SZ,11.7,12.28,11.7,11.95,11.43,0.52,4.5494,3872084.1,4637823.414,1.9953,3.52,11.4167,2323058.6133,11.198,1676900.948,10.943,1481645.693,10.893,1254870.3655,11.1573,1101243.655,11.8177,1081911.3533,12.2694,1065741.0673,12.7936,1094941.5452
20221111,000001.SZ,11.13,11.66,11.01,11.43,10.87,0.56,5.1518,2545070.55,2878557.392,1.3115,2.69,11.0633,1309732.8633,10.984,1100100.536,10.782,1192746.852,10.8695,1112507.296,11.159,1002298.4863,11.8248,1031051.6777,12.3024,1031376.1698,12.8158,1067598.5254
20221110,000001.SZ,10.79,10.9,10.69,10.87,10.89,-0.02,-0.1837,552021.19,596916.589,0.2845,0.53,10.87,655783.3633,10.862,946308.872,10.681,1044034.498,10.8745,1040056.8475,11.1877,937010.8367,11.8402,1011955.562,12.3419,1020305.886,12.8435,1052877.7569
20221109,000001.SZ,10.84,11.08,10.82,10.89,10.85,0.04,0.3687,832106.85,911153.622,0.4288,0.74,10.8733,801136.98,10.776,1032611.756,10.662,1084570.725,10.898,1055086.5865,11.235,938147.9097,11.86,1014138.929,12.3838,1028245.0648,12.8755,1056039.3003
20221108,000001.SZ,10.89,10.92,10.78,10.85,10.88,-0.03,-0.2757,583222.05,632835.805,0.3005,0.45,10.85,1115805.44,10.724,1126788.022,10.639,1115743.028,10.9335,1041459.8655,11.2863,933217.5943,11.8805,1009577.941,12.4253,1031500.6607,12.9048,1054673.6417
20221107,000001.SZ,10.81,10.91,10.73,10.88,10.82,0.06,0.5545,988082.04,1070554.833,0.5092,0.77,10.7133,1249243.2933,10.688,1286390.438,10.619,1189118.763,10.965,1033061.4315,11.336,943443.1437,11.903,1009057.5683,12.4658,1041656.8399,12.9362,1055449.3905
20221104,000001.SZ,10.4,10.85,10.39,10.82,10.44,0.38,3.6398,1776112.23,1903720.944,0.9153,1.56,10.63,1354212.0067,10.58,1285393.168,10.593,1228649.624,10.9945,1031961.3385,11.3923,931577.777,11.9268,1005344.4988,12.503,1040300.824,12.9653,1052924.2421
20221103,000001.SZ,10.54,10.57,10.38,10.44,10.63,-0.19,-1.7874,983535.61,1028904.286,0.5068,0.87,10.58,1222585.9733,10.5,1141760.124,10.62,1129595.83,11.0455,970017.2365,11.4503,917622.2963,11.9492,985787.222,12.5406,1029522.1107,12.9971,1045194.7537
20221102,000001.SZ,10.61,10.68,10.48,10.63,10.67,-0.04,-0.3749,1302988.18,1377816.22,0.6715,1.18,10.5467,1222439.3333,10.548,1136529.694,10.696,1109434.592,11.1165,966726.358,11.5357,946205.0387,11.9757,981830.5707,12.581,1030327.7808,13.0317,1045267.6654
20221101,000001.SZ,10.38,10.68,10.36,10.67,10.34,0.33,3.1915,1381234.13,1459758.367,0.7118,1.27,10.4767,1140758.9433,10.554,1104698.034,10.762,1071534.742,11.1905,940623.228,11.6057,931373.294,12.0028,982997.5893,12.6226,1030536.7341,13.0643,1041231.2752
20221031,000001.SZ,10.33,10.45,10.22,10.34,10.42,-0.08,-0.7678,983095.69,1016230.012,0.5066,0.84,10.48,999475.3867,10.55,1091847.088,10.843,1028095.038,11.2645,911042.636,11.6817,942755.1527,12.032,977072.5657,12.6633,1026658.2082,13.1001,1036657.9226
20221028,000001.SZ,10.63,10.7,10.41,10.42,10.68,-0.26,-2.4345,1057947.01,1114999.302,0.5452,0.95,10.5867,1053053.45,10.606,1171906.08,10.957,1032267.74,11.3475,907074.3035,11.761,975028.54,12.071,974545.9287,12.709,1027443.6777,13.1416,1035050.4268
20221027,000001.SZ,10.7,10.77,10.66,10.68,10.66,0.02,0.1876,957383.46,1024868.047,0.4934,0.88,10.6633,1139397.58,10.74,1117431.536,11.068,1036079.197,11.441,883499.006,11.8257,960467.537,12.112,969419.2538,12.7537,1030494.781,13.1824,1039942.6441
20221026,000001.SZ,10.64,10.73,10.61,10.66,10.65,0.01,0.0939,1143829.88,1220733.278,0.5894,1.1,10.6433,1281399.9767,10.844,1082339.49,11.134,1025602.448,11.5215,864936.502,11.8807,961215.182,12.1472,968861.4308,12.7988,1057785.4504,13.2238,1039562.5475
20221025,000001.SZ,10.7,10.81,10.6,10.65,10.62,0.03,0.2825,1316979.4,1406437.766,0.6787,1.37,10.7867,1161981.4467,10.97,1038371.45,11.228,967176.703,11.61,841954.8775,11.942,947464.019,12.1847,966865.0797,12.8372,1057869.8894,13.2654,1042449.7571
20221024,000001.SZ,11.09,11.1,10.61,10.62,11.09,-0.47,-4.2381,1383390.65,1496043.94,0.7129,1.55,10.97,983629.39,11.136,964342.988,11.311,877004.1,11.6945,820605.334,12.006,924632.705,12.2208,957648.0198,12.8734,1060434.0389,13.2994,1039710.0084
20221021,000001.SZ,11.21,11.25,11.07,11.09,11.2,-0.11,-0.9821,785574.29,876648.491,0.4048,0.82,11.1933,830495.7333,11.308,892629.4,11.396,835273.053,11.792,783041.8535,12.069,904731.777,12.2573,957533.338,12.9146,1060018.724,13.3347,1042052.4278
20221020,000001.SZ,11.23,11.31,11.16,11.2,11.29,-0.09,-0.7972,781923.23,876967.151,0.4029,0.81,11.3233,884250.0,11.396,954726.858,11.471,810438.643,11.8655,811635.5295,12.1197,907278.699,12.2893,977280.2313,12.9508,1069433.469,13.3761,1043183.2594
20221019,000001.SZ,11.42,11.49,11.28,11.29,11.48,-0.19,-1.6551,923989.68,1049700.767,0.4761,1.03,11.4167,965216.4933,11.424,968865.406,11.537,824018.124,11.9555,864590.262,12.1713,936315.9773,12.3258,977605.8218,12.9837,1073473.4469,13.4145,1042582.9922
20221018,000001.SZ,11.55,11.64,11.46,11.48,11.48,0.0,0.0,946837.09,1091646.644,0.4879,1.2,11.4967,1022573.7933,11.486,895981.956,11.619,809711.714,12.0275,861292.57,12.211,932173.4007,12.3613,974799.2788,13.0156,1077819.2573,13.4525,1040854.3722
20221017,000001.SZ,11.42,11.52,11.34,11.48,11.53,-0.05,-0.4337,1024822.71,1171523.55,0.5281,1.32,11.45,991166.7533,11.486,789665.212,11.686,793990.234,12.101,900085.21,12.2423,931428.5193,12.3932,978243.7575,13.0454,1086308.3091,13.4886,1039812.1672
20221014,000001.SZ,11.45,11.63,11.4,11.53,11.34,0.19,1.6755,1096061.58,1265486.55,0.5648,1.65,11.49,836083.3267,11.484,777916.706,11.738,781880.867,12.163,946408.94,12.28,928188.9043,12.4225,987807.3357,13.0729,1085802.1481,13.5254,1040329.3742
20221013,000001.SZ,11.51,11.54,11.31,11.34,11.6,-0.26,-2.2414,852615.97,970021.739,0.4394,1.26,11.4733,609147.2567,11.546,666150.428,11.814,730918.815,12.2045,922661.707,12.3163,927120.5387,12.4532,1013408.3238,13.1012,1083015.897,13.5662,1041460.203
20221012,000001.SZ,11.45,11.62,11.35,11.6,11.48,0.12,1.0453,559572.43,641776.509,0.2884,0.77,11.5167,646968.66,11.65,679170.842,11.909,704270.556,12.254,929021.549,12.3517,941879.184,12.497,1035464.6587,13.1326,1083974.259,13.6053,1042101.8611
20221011,000001.SZ,11.54,11.58,11.41,11.48,11.47,0.01,0.0872,415253.37,476749.227,0.214,0.52,11.5967,639521.2467,11.752,723441.472,11.992,716733.052,12.299,937607.677,12.3763,953942.2053,12.544,1038519.8252,13.1601,1087722.3568,13.6403,1044860.658
20221010,000001.SZ,11.7,11.77,11.46,11.47,11.84,-0.37,-3.125,966080.18,1119089.731,0.4978,1.23,11.7233,807009.47,11.886,798315.256,12.078,764206.568,12.3535,948447.0075,12.4103,978036.3123,12.5937,1041793.8013,13.1901,1091142.5053,13.6773,1050060.7251
20220930,000001.SZ,11.87,11.96,11.83,11.84,11.86,-0.02,-0.1686,537230.19,638906.948,0.2768,0.68,11.9367,745291.27,11.992,785845.028,12.188,730810.654,12.4055,939461.139,12.447,1016047.5477,12.6448,1036354.1022,13.2203,1091645.1429,13.7155,1053816.1849
20220929,000001.SZ,12.25,12.28,11.82,11.86,12.11,-0.25,-2.0644,917718.04,1100405.198,0.4729,1.26,12.04,829421.97,12.082,795687.202,12.26,812832.416,12.444,955698.727,12.4607,1040463.2393,12.6878,1039569.6153,13.2487,1092378.4548,13.7535,1058229.0955
20220928,000001.SZ,12.09,12.25,11.92,12.11,12.15,-0.04,-0.3292,780925.58,946211.767,0.4024,1.1,12.0867,824758.97,12.168,729370.27,12.374,905162.4,12.4885,992464.904,12.4787,1054822.8573,12.7323,1041663.2352,13.2769,1092554.4439,13.7903,1064406.9831
20220927,000001.SZ,12.0,12.16,11.81,12.15,12.0,0.15,1.25,789622.29,946732.994,0.4069,1.08,12.1467,759930.7967,12.232,710024.632,12.436,912873.426,12.507,993404.244,12.4793,1049832.7947,12.779,1047234.0105,13.3071,1091074.4477,13.826,1078637.1037
20220926,000001.SZ,12.16,12.28,11.99,12.0,12.29,-0.29,-2.3596,903729.04,1094060.839,0.4657,1.34,12.1933,692101.16,12.27,730097.88,12.516,1006180.186,12.5205,1000147.662,12.478,1062579.0517,12.8255,1047989.7735,13.339,1092840.842,13.856,1084430.9074
20220923,000001.SZ,12.24,12.43,12.23,12.29,12.29,0.0,0.0,586441.06,722703.128,0.3022,0.71,12.3367,618923.9433,12.384,675776.28,12.588,1110937.013,12.551,1001342.923,12.4907,1059804.869,12.8742,1045915.0115,13.3681,1089365.2051,13.8842,1086597.7216
20220922,000001.SZ,12.33,12.36,12.25,12.29,12.43,-0.14,-1.1263,586133.38,720058.21,0.302,0.54,12.3533,720106.4333,12.438,829977.63,12.595,1114404.599,12.5675,1025221.4005,12.4927,1086900.2873,12.919,1061953.4107,13.3954,1091500.0637,13.9085,1092017.309
20220921,000001.SZ,12.31,12.48,12.2,12.43,12.34,0.09,0.7293,684197.39,845477.182,0.3526,0.61,12.4467,735435.6533,12.58,1080954.53,12.599,1153772.542,12.573,1060683.498,12.485,1090129.9483,12.9582,1073293.6423,13.4223,1095336.4304,13.9284,1092263.2238
20220920,000001.SZ,12.61,12.63,12.32,12.34,12.57,-0.23,-1.8298,889988.53,1102212.204,0.4586,0.69,12.49,959852.46,12.64,1115722.22,12.606,1158482.302,12.5685,1072546.782,12.4747,1085938.2877,12.9948,1080642.1938,13.4443,1095158.9908,13.9486,1092621.0537
20220919,000001.SZ,12.54,12.67,12.48,12.57,12.56,0.01,0.0796,632121.04,793491.306,0.3257,0.41,12.71,1276862.2433,12.762,1282262.492,12.629,1132687.447,12.5765,1084951.1845,12.47,1074671.993,13.0307,1090763.688,13.4696,1092784.8061,13.9706,1091395.5939
20220916,000001.SZ,12.92,12.95,12.56,12.56,13.0,-0.44,-3.3846,1357447.81,1719252.822,0.6995,0.97,12.7633,1352167.1767,12.792,1546097.746,12.623,1148111.624,12.5765,1158665.9945,12.4613,1079111.2207,13.0583,1094662.3475,13.4897,1093373.0638,13.9925,1094480.9182
20220915,000001.SZ,12.8,13.1,12.77,13.0,12.73,0.27,2.121,1841017.88,2393239.453,0.9487,1.5,12.8933,1473914.5367,12.752,1398831.568,12.628,1098565.038,12.561,1154278.651,12.448,1053952.1477,13.0857,1085472.0178,13.5127,1087718.9061,14.0128,1091919.7063
20220914,000001.SZ,12.75,12.87,12.7,12.73,12.95,-0.22,-1.6988,858035.84,1095054.829,0.4422,0.71,12.8,1510674.3467,12.618,1226590.554,12.603,1079767.408,12.531,1129653.086,12.4157,1017456.1027,13.1037,1072389.1518,13.5303,1078288.541,14.031,1090150.0288
20220913,000001.SZ,12.88,13.02,12.66,12.95,12.72,0.23,1.8082,1722689.89,2223707.38,0.8877,1.75,12.6767,1431701.3733,12.572,1201242.384,12.578,1073935.062,12.501,1118312.479,12.4,1034621.8847,13.131,1080118.4542,13.5506,1077850.6022,14.0465,1093073.6305
20220909,000001.SZ,12.4,12.74,12.36,12.72,12.36,0.36,2.9126,1951297.31,2469131.334,1.0055,2.6,12.47,1184075.68,12.496,983112.402,12.525,994115.138,12.459,1090778.4845,12.3823,1011389.9787,13.1542,1068609.736,13.5729,1067958.8459,14.0611,1091457.9408
20220908,000001.SZ,12.32,12.44,12.3,12.36,12.33,0.03,0.2433,621116.92,768913.484,0.3201,0.78,12.3967,777408.24,12.454,750125.502,12.514,891748.833,12.442,1034238.797,12.381,974063.3173,13.183,1053651.2465,13.6018,1055057.7224,14.0755,1089614.3084
20220907,000001.SZ,12.42,12.42,12.28,12.33,12.5,-0.17,-1.36,979812.81,1208329.759,0.5049,1.05,12.4667,781049.26,12.504,798298.508,12.54,936038.202,12.4415,1073148.1315,12.3983,978370.9707,13.2177,1065508.403,13.6347,1066434.3464,14.0917,1097203.1596
20220906,000001.SZ,12.58,12.66,12.43,12.5,12.57,-0.07,-0.5569,731294.99,914692.184,0.3768,0.77,12.5267,716565.9267,12.588,932944.262,12.547,967594.454,12.428,1058308.6515,12.4137,976507.6797,13.2578,1106070.5847,13.6716,1065678.336,14.103,1103883.1268
20220905,000001.SZ,12.46,12.6,12.37,12.57,12.51,0.06,0.4796,632039.98,788451.089,0.3257,0.63,12.5633,760128.2467,12.584,946627.74,12.531,986611.262,12.409,1049666.2805,12.4273,986266.1403,13.2848,1113072.8247,13.7066,1074111.6698,14.1196,1107109.063
20220902,000001.SZ,12.62,12.69,12.43,12.51,12.61,-0.1,-0.793,786362.81,983433.863,0.4052,0.76,12.6233,1100462.1133,12.554,1005117.874,12.524,1037214.922,12.3905,1045664.266,12.4357,990663.3347,13.3072,1128334.7058,13.7306,1078069.1096,14.139,1114289.1213
20220901,000001.SZ,12.65,12.79,12.58,12.61,12.75,-0.14,-1.098,861981.95,1092666.277,0.4442,0.8,12.6133,1104911.97,12.574,1033372.164,12.53,1169220.365,12.3805,1044611.019,12.4457,1010334.899,13.3373,1137662.1975,13.7566,1087825.9781,14.1562,1126479.0825
20220831,000001.SZ,12.38,12.78,12.36,12.75,12.48,0.27,2.1635,1653041.58,2091408.315,0.8518,1.65,12.55,1125748.2033,12.576,1073777.896,12.494,1209992.264,12.358,1031645.7025,12.459,1047281.7637,13.3663,1150510.854,13.7949,1088484.7796,14.1664,1134302.2343
20220830,000001.SZ,12.43,12.54,12.28,12.48,12.42,0.06,0.4831,799712.38,991447.627,0.4121,0.78,12.5033,883945.7633,12.506,1002244.646,12.459,1179538.764,12.322,986300.45,12.4803,1018895.6663,13.3898,1142052.1817,13.8289,1078005.3304,14.1794,1128885.4936
20220829,000001.SZ,12.5,12.56,12.31,12.42,12.61,-0.19,-1.5067,924490.65,1145189.174,0.4764,0.86,12.55,972045.1733,12.478,1026594.784,12.424,1162689.896,12.311,1014965.296,12.5117,1017425.157,13.4178,1150642.1857,13.8663,1077081.3627,14.1981,1131497.5487
20220826,000001.SZ,12.68,12.75,12.46,12.61,12.62,-0.01,-0.0792,927634.26,1168951.099,0.478,0.71,12.5433,1095673.4,12.494,1069311.97,12.393,1187441.831,12.311,1020027.399,12.544,1025058.9957,13.447,1163748.204,13.904,1075940.0498,14.2223,1132051.2571
20220825,000001.SZ,12.4,12.66,12.3,12.62,12.4,0.22,1.7742,1064010.61,1329230.362,0.5483,0.79,12.4533,1093616.3367,12.486,1305068.566,12.37,1176728.761,12.3145,1015220.5595,12.565,1047425.767,13.4693,1164608.77,13.9406,1077709.5309,14.2482,1129140.0137
20220824,000001.SZ,12.33,12.54,12.33,12.4,12.34,0.06,0.4862,1295375.33,1613309.589,0.6675,0.95,12.4133,1118304.9933,12.412,1346206.632,12.343,1210258.061,12.3275,999537.355,12.59,1099696.109,13.4937,1160963.5762,13.9828,1079573.4244,14.2737,1126612.9324
