trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount,adj_factor,ma3,ma_v_3,ma5,ma_v_5,ma10,ma_v_10,ma15,ma_v_15,ma20,ma_v_20,ma30,ma_v_30,ma50,ma_v_50,ma60,ma_v_60,ma75,ma_v_75,ma90,ma_v_90,ma120,ma_v_120,ma150,ma_v_150,ma200,ma_v_200
20221130,000001.SZ,1484.5887,1182.6578,1519.9089,1180.379,1178.1003,306.48839999999996,26.0155,3526282382.0,41486699201.53,113.9362,1337.2312,2336979505.6667,1381.8182,2342846125.4,1536.9275,2278863884.1,1675.109,2285849228.4,1846.2633,2098768985.3,1896.0257,2245503151.7333,1721.9858,2158126984.7,1632.5735,2207860603.8333,1517.3465,2090122114.4267,1425.2036,2036729353.5,1268.5305,2010112910.1917,1131.2276,1705642274.3867,1000.4696,1426209589.965
20221031,000001.SZ,1178.1003,1333.0535,1341.0291,1164.428,1349.0046,-170.90429999999992,-12.6689,1519535662.0,16818922703.69,113.9362,1326.5971,1954145131.3333,1420.2188,2197465308.0,1565.6412,2184469616.5,1708.9505,2189928868.0667,1894.2433,2039457863.75,1894.6607,2168509138.9667,1716.1689,2125243347.04,1631.5373,2219891387.25,1510.8074,2066287229.0133,1423.3462,2042053049.9111,1260.0173,1982637900.4167,1126.8838,1686226479.88,993.8409,1409451921.06
20220930,000001.SZ,1349.0046,1441.2929,1492.5642,1345.5865,1452.6865,-103.68190000000004,-7.1373,1965120473.0,24567132248.36,113.9362,1415.4674,2222804194.3333,1501.5618,2199875805.8,1632.2786,2288560770.0,1762.4039,2217675374.0667,1954.0497,2075644706.9,1906.0815,2174761884.4,1714.494,2138646379.84,1632.349,2217819066.3333,1507.9497,2058641834.76,1426.2129,2090467520.8333,1254.1668,1971765689.5417,1124.4037,1678874576.6533,988.7184,1402612447.705
20220831,000001.SZ,1452.6865,1442.4323,1456.1046,1360.3982,1444.711,7.975500000000011,0.552,2377779259.0,29369669965.92,113.9362,1524.663,2500890135.0,1574.6899,2270120005.2,1692.5701,2308861959.1,1841.2486,2168378886.4,2014.8055,2117014330.0,1907.6934,2197865983.2333,1707.8669,2140204526.42,1629.5505,2211903455.8,1502.1149,2041898575.1733,1423.6584,2110402252.1444,1246.8538,1957909847.5167,1120.6047,1672104165.0867,982.7038,1393225137.8
20220729,000001.SZ,1444.711,1709.043,1739.8058,1437.8748,1706.7643,-262.05330000000004,-15.3538,2325512851.0,31741011138.69,113.9362,1568.706,2218826432.3333,1628.4247,2354393782.4,1765.5494,2214603485.5,1924.9703,2077545708.4667,2049.5556,2096206438.65,1912.0355,2203011262.4667,1698.1402,2129008718.4,1625.3251,2216076072.75,1494.8422,2019534716.1333,1418.5624,2098445274.5556,1238.994,1940499258.8667,1116.7537,1660348955.7,976.1545,1381915366.07
20220630,000001.SZ,1676.5916,1582.5771,1691.1414,1526.6161,1584.8155,91.77610000000004,5.791,2799378295.0,40107191578.73,111.922,1658.684,2215769305.3333,1692.0368,2214881642.8,1821.7544,2257350779.9,2001.0783,2017409938.6,2086.9254,2082805701.55,1920.4281,2174942398.4,1690.8905,2119032817.04,1620.1519,2236252440.3,1487.6988,2000195485.36,1413.5076,2106986379.5889,1231.4729,1923398078.4583,1112.9295,1649651145.3333,969.6514,1371152863.765
20220531,000001.SZ,1584.8155,1701.2144,1729.1949,1566.908,1714.645,-129.82950000000005,-7.5718,1531588151.0,22291939672.44,111.922,1673.607,2215692588.6667,1711.0635,2171473925.0,1853.3164,2186160648.1,2052.2515,1986788715.6667,2101.6518,2047033210.85,1924.4027,2132174951.7667,1680.4277,2110037232.2,1608.6033,2210792954.95,1477.5439,1979922313.48,1407.3843,2150702767.1222,1222.0374,1903382312.45,1107.1333,1633623457.6933,962.0477,1358294416.5
20220429,000001.SZ,1714.645,1720.2411,1864.6205,1617.2729,1721.3604,-6.715400000000045,-0.3901,2316341470.0,36674357936.19,111.922,1732.9256,2247813922.6667,1762.9954,2377245734.2,1892.8249,2226575158.2,2104.8789,2034234340.6,2106.6417,2078044858.85,1927.2153,2135793431.3,1671.9067,2125665407.48,1598.2526,2205687563.2,1467.3744,1968364300.44,1399.5965,2170136142.9,1213.5253,1893593326.6833,1101.3577,1627903796.2667,954.8653,1351237729.34
20220331,000001.SZ,1721.3604,1767.2484,1785.1559,1479.6088,1762.7715,-41.41110000000003,-2.3492,2799148145.0,41216784389.79,111.922,1751.9524,2336480001.3333,1810.4503,2347603913.0,1974.5279,2117508327.0,2161.5107,2065979104.9333,2104.6404,2118448176.15,1929.23,2125889834.9,1663.2343,2130587524.5,1585.3715,2180455769.1333,1455.9784,1951484802.9067,1389.2529,2163528716.4,1204.1917,1877230981.125,1094.281,1618314182.36,947.0338,1340758038.925
20220228,000001.SZ,1762.7715,1792.9904,1940.7275,1748.2216,1771.7253,-8.953800000000001,-0.5054,1627952153.0,26770314950.2,111.922,1792.9905,2256913018.6667,1902.674,2074813188.6,2073.2431,1939121671.5,2189.9325,2010143990.7333,2092.642,2218854435.35,1928.5829,2117206722.9,1658.6799,2166895314.52,1572.6926,2155285542.3333,1446.7745,1935708272.8667,1378.1321,2146829040.9111,1194.5477,1858214562.0667,1089.072,1607441038.5,939.1787,1327395422.34
