trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount,adj_factor,ma3,ma_v_3,ma5,ma_v_5,ma10,ma_v_10,ma15,ma_v_15,ma20,ma_v_20,ma30,ma_v_30,ma50,ma_v_50,ma60,ma_v_60,ma75,ma_v_75,ma90,ma_v_90,ma120,ma_v_120,ma150,ma_v_150,ma200,ma_v_200
20221130,000001.SZ,13.03,10.38,13.34,10.36,10.34,2.6899999999999995,26.0155,3526282382.0,41486699201.53,113.9362,11.7367,2336979505.6667,12.128,2342846125.4,13.4894,2278863884.1,14.7022,2285849228.4,16.2044,2098768985.3,16.6411,2245503151.7333,15.1136,2158126984.7,14.3288,2207860603.8333,13.3175,2090122114.4267,12.5088,2036729353.5,11.1337,2010112910.1917,9.9286,1705642274.3867,8.781,1426209589.965
20221031,000001.SZ,10.34,11.7,11.77,10.22,11.84,-1.5,-12.6689,1519535662.0,16818922703.69,113.9362,11.6433,1954145131.3333,12.465,2197465308.0,13.7414,2184469616.5,14.9992,2189928868.0667,16.6255,2039457863.75,16.6291,2168509138.9667,15.0626,2125243347.04,14.3198,2219891387.25,13.2601,2066287229.0133,12.4925,2042053049.9111,11.059,1982637900.4167,9.8905,1686226479.88,8.7228,1409451921.06
20220930,000001.SZ,11.84,12.65,13.1,11.81,12.75,-0.9100000000000001,-7.1373,1965120473.0,24567132248.36,113.9362,12.4233,2222804194.3333,13.179,2199875805.8,14.3263,2288560770.0,15.4684,2217675374.0667,17.1504,2075644706.9,16.7294,2174761884.4,15.0479,2138646379.84,14.3269,2217819066.3333,13.235,2058641834.76,12.5177,2090467520.8333,11.0076,1971765689.5417,9.8687,1678874576.6533,8.6778,1402612447.705
20220831,000001.SZ,12.75,12.66,12.78,11.94,12.68,0.07000000000000028,0.5521,2377779259.0,29369669965.92,113.9362,13.3817,2500890135.0,13.8208,2270120005.2,14.8554,2308861959.1,16.1604,2168378886.4,17.6836,2117014330.0,16.7435,2197865983.2333,14.9897,2140204526.42,14.3023,2211903455.8,13.1838,2041898575.1733,12.4952,2110402252.1444,10.9434,1957909847.5167,9.8354,1672104165.0867,8.625,1393225137.8
20220729,000001.SZ,12.68,15.0,15.27,12.62,14.98,-2.3000000000000007,-15.3538,2325512851.0,31741011138.69,113.9362,13.7683,2218826432.3333,14.2924,2354393782.4,15.496,2214603485.5,16.8952,2077545708.4667,17.9886,2096206438.65,16.7816,2203011262.4667,14.9043,2129008718.4,14.2652,2216076072.75,13.12,2019534716.1333,12.4505,2098445274.5556,10.8745,1940499258.8667,9.8016,1660348955.7,8.5676,1381915366.07
20220630,000001.SZ,14.7152,13.89,14.8429,13.3989,13.9097,0.8054999999999986,5.7909,2799378295.0,40107191578.73,111.922,14.558,2215769305.3333,14.8508,2214881642.8,15.9893,2257350779.9,17.5632,2017409938.6,18.3166,2082805701.55,16.8553,2174942398.4,14.8407,2119032817.04,14.2198,2236252440.3,13.0573,2000195485.36,12.4061,2106986379.5889,10.8084,1923398078.4583,9.768,1649651145.3333,8.5105,1371152863.765
20220531,000001.SZ,13.9097,14.9313,15.1769,13.7525,15.0492,-1.1395,-7.5718,1531588151.0,22291939672.44,111.922,14.689,2215692588.6667,15.0178,2171473925.0,16.2663,2186160648.1,18.0123,1986788715.6667,18.4459,2047033210.85,16.8902,2132174951.7667,14.7489,2110037232.2,14.1185,2210792954.95,12.9682,1979922313.48,12.3524,2150702767.1222,10.7256,1903382312.45,9.7171,1633623457.6933,8.4437,1358294416.5
20220429,000001.SZ,15.0492,15.0983,16.3655,14.1945,15.1081,-0.05889999999999951,-0.3899,2316341470.0,36674357936.19,111.922,15.2096,2247813922.6667,15.4736,2377245734.2,16.613,2226575158.2,18.4742,2034234340.6,18.4897,2078044858.85,16.9149,2135793431.3,14.6741,2125665407.48,14.0276,2205687563.2,12.8789,1968364300.44,12.284,2170136142.9,10.6509,1893593326.6833,9.6664,1627903796.2667,8.3807,1351237729.34
20220331,000001.SZ,15.1081,15.5109,15.668,12.9863,15.4716,-0.36350000000000016,-2.3495,2799148145.0,41216784389.79,111.922,15.3766,2336480001.3333,15.8901,2347603913.0,17.3301,2117508327.0,18.9712,2065979104.9333,18.4721,2118448176.15,16.9326,2125889834.9,14.5979,2130587524.5,13.9146,2180455769.1333,12.7789,1951484802.9067,12.1933,2163528716.4,10.569,1877230981.125,9.6043,1618314182.36,8.312,1340758038.925
20220228,000001.SZ,15.4716,15.7368,17.0335,15.3439,15.5502,-0.07859999999999978,-0.5055,1627952153.0,26770314950.2,111.922,15.7368,2256913018.6667,16.6995,2074813188.6,18.1965,1939121671.5,19.2207,2010143990.7333,18.3668,2218854435.35,16.9269,2117206722.9,14.558,2166895314.52,13.8033,2155285542.3333,12.6981,1935708272.8667,12.0957,2146829040.9111,10.4844,1858214562.0667,9.5586,1607441038.5,8.243,1327395422.34
20220128,000001.SZ,15.5502,16.1887,17.2496,15.5403,16.1887,-0.6385000000000005,-3.9441,2582339706.0,43505823412.47,111.922,16.2902,2436973089.0,17.1278,2299819917.0,18.9194,1918674086.5,19.4719,2038780387.8,18.217,2228822785.55,16.8634,2162717995.9,14.4967,2193659947.78,13.6907,2142253884.9333,12.61,1939270584.04,11.9948,2142564839.8889,10.4003,1848561926.1917,9.5013,1603739982.7867,8.1725,1321295046.58
20211231,000001.SZ,16.1887,17.1219,18.7231,16.1101,17.1317,-0.9429999999999978,-5.5044,2560447197.0,45276503779.39,111.922,17.4919,2054591361.3333,17.5148,2200847371.2,19.5096,1894446111.0,19.5886,2005552972.8,18.073,2160528900.2,16.7964,2131717870.3,14.4354,2226975741.4,13.5745,2111930320.9333,12.517,1919837018.6533,11.8973,2129107152.1444,10.3145,1828575104.0,9.4351,1590307016.6267,8.1004,1308787149.285
20211130,000001.SZ,17.1317,18.9883,19.3812,16.8566,19.1553,-2.023600000000002,-10.5642,2168132364.0,38898674227.01,111.922,17.9667,2118770894.0,17.7525,2075904582.2,19.9745,1862728643.8,19.495,1978311233.7333,17.9309,2117862441.6,16.6969,2101774903.0,14.327,2203670725.6,13.4441,2090956097.3,12.4067,1905697415.52,11.7861,2110622746.6222,10.2205,1809851042.8833,9.3615,1578525127.9667,8.0266,1296321581.97
20211029,000001.SZ,19.1553,17.8488,20.226,17.7014,17.613,1.542300000000001,8.7566,1435194523.0,28042460454.44,111.922,18.0845,2091885765.0,18.7702,1887412741.0,20.5118,1925166700.9,19.3328,2042062930.5333,17.6876,2142367995.3,16.5107,2091669198.2,14.1917,2192511755.14,13.3049,2083975926.35,12.2897,1907925466.0533,11.6612,2094349964.0,10.1185,1794607504.3333,9.2808,1571746212.98,7.9476,1285769207.225
20210930,000001.SZ,17.613,17.171,20.6189,16.7093,17.4853,0.1277000000000008,0.7303,2752985795.0,51002547278.61,111.922,17.4919,2258732008.0,19.6936,1803430154.4,20.4813,1977809391.8,18.9226,2266868184.2667,17.4245,2197215150.95,16.31,2130268369.2333,14.0191,2216370590.2,13.1259,2073209023.05,12.1586,1958572455.96,11.5118,2090983965.2778,10.0032,1784946828.2333,9.1821,1569697914.8133,7.8591,1278874280.66
20210831,000001.SZ,17.4853,17.3282,20.8252,16.8763,17.3773,0.10799999999999699,0.6215,2087476977.0,39612873638.03,111.922,19.0276,1749627795.6667,20.7109,1537528256.0,20.644,1908260623.2,18.5801,2205157075.0667,17.2883,2133738207.65,16.1281,2127545595.7333,13.8659,2232032772.38,12.9714,2041190335.9333,12.0701,1986905378.52,11.3775,2072885496.3778,9.8985,1764386322.125,9.0891,1558081298.3933,7.7787,1265564034.86
20210730,000001.SZ,17.3773,22.4068,23.0846,16.9352,22.2201,-4.842799999999997,-21.7947,1935733252.0,39543208925.13,111.922,21.1232,1392229333.3333,21.5043,1588044850.8,20.6255,1907905773.6,18.2591,2147089409.8667,17.2021,2105182103.6,15.9359,2121678843.2,13.6889,2215719416.32,12.8254,2035376819.25,11.9911,2012477886.28,11.2465,2061769698.1,9.797,1750974083.0833,8.9924,1552415209.1467,7.6992,1255690596.615
20210630,000001.SZ,22.2201,23.7722,24.617,21.6111,23.7722,-1.552100000000003,-6.5291,1225673158.0,28598633960.8,111.922,22.8974,1221477017.0,22.1965,1649552705.4,20.3663,1929514559.5,17.9904,2131848394.7333,17.0658,2090402567.85,15.7074,2117698233.8333,13.5105,2201510044.2,12.6767,2018883449.9333,11.9275,2065025950.1867,11.1184,2049858827.6778,9.6978,1738909169.875,8.8954,1546011839.1733,7.6213,1246715213.19
20210531,000001.SZ,23.7722,22.6916,24.7152,22.2005,22.8783,0.8939000000000021,3.9072,1015281590.0,24221421505.84,111.922,22.6414,1592939281.3333,22.2535,1962920660.8,19.6141,2119388025.3,17.3267,2227353080.0667,16.7338,2130080588.85,15.2632,2116820277.5667,13.2314,2193045257.56,12.4397,2010278497.3667,11.7622,2098806925.2933,10.9412,2050048522.9667,9.5574,1732281077.5583,8.7649,1541338235.52,7.5191,1240804800.06
20210430,000001.SZ,22.6998,21.5205,23.616,19.308,21.4523,1.2474999999999987,5.8152,1423476303.0,31264829462.85,111.049,21.6634,2002269593.0,21.269,2152188629.2,18.5371,2498587199.2,16.6681,2328476816.4667,16.292,2206249248.6,14.7983,2152476337.4333,12.9246,2198518316.5,12.1762,2005031968.05,11.5616,2102625187.7733,10.7545,2056768053.3,9.4057,1727366876.525,8.6305,1536765528.1333,7.4092,1236011916.065
