trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount,ma3,ma_v_3,ma5,ma_v_5,ma10,ma_v_10,ma15,ma_v_15,ma20,ma_v_20,ma30,ma_v_30,ma50,ma_v_50,ma60,ma_v_60,ma75,ma_v_75,ma90,ma_v_90,ma120,ma_v_120,ma150,ma_v_150,ma200,ma_v_200
20221130,000001.SZ,13.03,10.38,13.34,10.36,10.34,2.69,0.2602,3526282382.0,41486699201.53,11.7367,2336979505.6667,12.128,2342846125.4,13.623,2278863884.1,14.894,2285849228.4,16.4505,2098768985.3,16.957,2245503151.7333,15.542,2158126984.7,14.802,2207860603.8333,13.8471,2090122114.4267,13.3421,2036729353.5,13.4553,2010112910.1917,14.0048,1705642274.3867,15.6246,1426209589.965
20221031,000001.SZ,10.34,11.7,11.77,10.22,11.84,-1.5,-0.1267,1519535662.0,16818922703.69,11.6433,1954145131.3333,12.518,2197465308.0,13.903,2184469616.5,15.212,2189928868.0667,16.8995,2039457863.75,16.956,2168509138.9667,15.5024,2125243347.04,14.8078,2219891387.25,13.7999,2066287229.0133,13.3676,2042053049.9111,13.4533,1982637900.4167,14.0726,1686226479.88,15.5913,1409451921.06
20220930,000001.SZ,11.84,12.65,13.1,11.81,12.75,-0.91,-0.0714,1965120473.0,24567132248.36,12.4233,2222804194.3333,13.282,2199875805.8,14.517,2288560770.0,15.702,2217675374.0667,17.4515,2075644706.9,17.0757,2174761884.4,15.4982,2138646379.84,14.8278,2217819066.3333,13.7847,2058641834.76,13.4382,2090467520.8333,13.4768,1971765689.5417,14.1533,1678874576.6533,15.5703,1402612447.705
20220831,000001.SZ,12.75,12.66,12.78,11.94,12.68,0.07,0.0055,2377779259.0,29369669965.92,13.47,2500890135.0,13.978,2270120005.2,15.077,2308861959.1,16.4207,2168378886.4,18.014,2117014330.0,17.1077,2197865983.2333,15.4498,2140204526.42,14.8157,2211903455.8,13.7428,2041898575.1733,13.4817,2110402252.1444,13.4876,1957909847.5167,14.2191,1672104165.0867,15.5403,1393225137.8
20220729,000001.SZ,12.68,15.0,15.27,12.62,14.98,-2.3,-0.1535,2325512851.0,31741011138.69,13.94,2218826432.3333,14.504,2354393782.4,15.752,2214603485.5,17.184,2077545708.4667,18.3435,2096206438.65,17.166,2203011262.4667,15.3766,2129008718.4,14.7912,2216076072.75,13.7135,2019534716.1333,13.4954,2098445274.5556,13.4996,1940499258.8667,14.2965,1660348955.7,15.505,1381915366.07
20220630,000001.SZ,14.98,14.14,15.11,13.64,14.16,0.82,0.0579,2799378295.0,40107191578.73,14.82,2215769305.3333,15.118,2214881642.8,16.277,2257350779.9,17.8913,2017409938.6,18.6965,2082805701.55,17.2613,2174942398.4,15.3266,2119032817.04,14.7577,2236252440.3,13.6853,2000195485.36,13.5093,2106986379.5889,13.5197,1923398078.4583,14.3737,1649651145.3333,15.4705,1371152863.765
20220531,000001.SZ,14.16,15.2,15.45,14.0,15.32,-1.16,-0.0757,1531588151.0,22291939672.44,14.9533,2215692588.6667,15.288,2171473925.0,16.559,2186160648.1,18.36,1986788715.6667,18.835,2047033210.85,17.3103,2132174951.7667,15.244,2110037232.2,14.6645,2210792954.95,13.6275,1979922313.48,13.5189,2150702767.1222,13.5213,1903382312.45,14.4237,1633623457.6933,15.4267,1358294416.5
20220429,000001.SZ,15.32,15.37,16.66,14.45,15.38,-0.06,-0.0039,2316341470.0,36674357936.19,15.4833,2247813922.6667,15.752,2377245734.2,16.912,2226575158.2,18.8413,2034234340.6,18.8855,2078044858.85,17.348,2135793431.3,15.1788,2125665407.48,14.5818,2205687563.2,13.5661,1968364300.44,13.4998,2170136142.9,13.534,1893593326.6833,14.4627,1627903796.2667,15.3855,1351237729.34
20220331,000001.SZ,15.38,15.79,15.95,13.22,15.75,-0.37,-0.0235,2799148145.0,41216784389.79,15.6533,2336480001.3333,16.176,2347603913.0,17.642,2117508327.0,19.3593,2065979104.9333,18.8735,2118448176.15,17.3793,2125889834.9,15.1134,2130587524.5,14.4763,2180455769.1333,13.4952,1951484802.9067,13.4521,2163528716.4,13.5443,1877230981.125,14.4819,1618314182.36,15.3386,1340758038.925
20220228,000001.SZ,15.75,16.02,17.34,15.62,15.83,-0.08,-0.0051,1627952153.0,26770314950.2,16.02,2256913018.6667,17.0,2074813188.6,18.524,1939121671.5,19.6233,2010143990.7333,18.7715,2218854435.35,17.3863,2117206722.9,15.0868,2166895314.52,14.3728,2155285542.3333,13.45,1935708272.8667,13.3939,2146829040.9111,13.5471,1858214562.0667,14.5539,1607441038.5,15.2918,1327395422.34
