trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount,adj_factor,ma3,ma_v_3,ma5,ma_v_5,ma10,ma_v_10,ma15,ma_v_15,ma20,ma_v_20,ma30,ma_v_30,ma50,ma_v_50,ma60,ma_v_60,ma75,ma_v_75,ma90,ma_v_90,ma120,ma_v_120,ma150,ma_v_150,ma200,ma_v_200
20221125,000001.SZ,1386.6036,1307.9876,1393.4397,1278.3642,1320.5206,66.08299999999986,5.0043,634416447.0,7492642654.13,113.9362,1336.4717,684282864.0,1285.884,656299643.2,1318.6976,542550106.5,1356.0687,533892386.5333,1387.8506,535362976.0,1469.7716,526204245.0,1616.989,542540000.92,1692.136,524392542.5,1807.7987,511727420.1733,1922.4435,490931235.6111,1942.6266,503968068.3667,1864.847,510013612.2,1775.2032,504564244.475
20221118,000001.SZ,1320.5206,1333.0535,1399.1365,1318.2418,1302.2908,18.22980000000007,1.3998,868381877.0,10333076554.12,113.9362,1285.2004,687042909.6667,1261.2738,618679293.8,1324.9641,528264081.9,1357.1321,521683636.9333,1402.0142,534726775.0,1483.467,519244965.3333,1628.6087,537879550.34,1703.5912,523150356.3333,1825.9316,506995915.6267,1936.4648,486579735.0333,1943.5646,505684478.7917,1867.6771,508522945.0267,1773.3369,502751197.735
20221111,000001.SZ,1302.2908,1231.6503,1328.4961,1217.978,1232.7897,69.50109999999995,5.6377,550050268.0,6090018241.05,113.9362,1240.7652,592899964.0,1259.9065,522794589.0,1335.4462,491681787.9,1365.4114,492416596.4,1415.6207,516718057.85,1500.7083,508658905.4667,1642.826,527526025.16,1719.9531,520707694.8833,1844.8858,499726912.0933,1951.1833,481314631.2,1945.6455,506077569.2167,1870.6056,505111055.5733,1771.8387,500258252.215
20221104,000001.SZ,1232.7897,1176.9609,1236.2078,1164.428,1187.2152,45.574499999999944,3.8388,642696584.0,6786429829.23,113.9362,1227.8525,558321441.3333,1269.2493,491369038.2,1348.8907,490142359.6,1375.8936,496129639.8667,1431.3698,531710845.45,1518.4826,507705176.7333,1657.6765,530286047.62,1731.8995,525809182.4333,1862.5759,495456273.9467,1967.4739,484186853.5,1948.5446,514585479.5417,1873.2773,503313080.72,1770.8207,498746904.805
20221028,000001.SZ,1187.2152,1263.5525,1264.6918,1186.0758,1263.5525,-76.33729999999991,-6.0415,585953040.0,6263082333.36,113.9362,1254.8174,473742031.0,1302.7465,430407349.4,1368.8295,491151285.8,1392.4974,505025392.2,1449.8665,535328012.55,1536.1487,503709281.1667,1672.5068,529499323.14,1745.6571,522496449.1167,1880.939,490627473.4533,1982.2665,483209084.6889,1951.4585,517590212.2667,1876.1866,501099509.4067,1770.2095,497083190.945
20221021,000001.SZ,1263.5525,1301.1514,1326.2174,1261.2737,1313.6844,-50.13190000000009,-3.8161,446314700.0,5066486602.29,113.9362,1308.7472,409398522.3333,1351.5112,428800569.8,1391.161,472688758.2,1421.8394,495050753.6,1468.5713,524332045.45,1552.4612,502953914.2,1692.412,524240614.16,1762.0956,520564578.2167,1900.7192,484551445.4933,1996.2576,483975602.3556,1953.4102,515901526.1,1879.6182,500120128.5533,1769.8694,495587309.9
20221014,000001.SZ,1313.6844,1333.0535,1341.0291,1288.6184,1349.0046,-35.320199999999886,-2.6182,388958353.0,4473123755.82,113.9362,1354.3216,373256335.6667,1388.6544,437848870.0,1405.0612,473185808.5,1448.9277,506742602.0667,1484.7464,521610788.15,1565.1846,513711636.9333,1711.9993,524977555.84,1778.1385,522013396.3833,1918.3562,482751923.0933,2008.1295,487614980.1,1954.7259,516143911.925,1883.0866,499253384.0267,1769.1261,495486510.375
20220930,000001.SZ,1349.0046,1385.4642,1399.1365,1345.5865,1400.2759,-51.27130000000011,-3.6615,392922514.0,4726317745.73,113.9362,1393.4397,436243265.3333,1410.9859,460568986.8,1418.1639,477227600.1,1467.5254,514692547.4667,1503.1156,521751530.7,1576.983,526278881.7667,1729.7334,527460290.5,1789.5592,522156622.65,1935.3248,484495250.4133,2018.0255,492282300.8111,1955.7995,516252874.45,1886.4465,499651442.8267,1768.2671,495905781.57
20220923,000001.SZ,1400.2759,1428.7599,1443.5717,1390.0216,1431.0387,-30.76279999999997,-2.1497,337888140.0,4183942029.26,113.9362,1426.861,469121161.0,1428.5321,488915681.0,1429.2157,498509940.7,1485.41,545158114.5333,1517.4244,522209685.65,1589.2084,526478172.5,1744.4778,521920241.46,1800.0741,525098553.4667,1947.3361,483386882.3867,2026.8998,492512528.9889,1957.1341,516052949.95,1889.7237,500252317.9133,1767.2207,496559415.245
20220916,000001.SZ,1431.0387,1467.4983,1492.5642,1431.0387,1449.2685,-18.22979999999984,-1.2579,577919142.0,7431254484.37,113.9362,1435.2164,524011426.6667,1434.9125,551895222.2,1437.3728,542334413.6,1498.9064,570301566.9333,1531.1282,513428418.75,1601.8512,530659159.9667,1756.6075,524081614.38,1814.2301,525592583.1667,1960.2037,481149303.44,2033.6003,493086800.5444,1957.4955,515493810.9917,1892.6737,501731509.5133,1766.2096,498870894.355
20220909,000001.SZ,1449.2685,1419.6451,1451.5472,1399.1365,1425.3419,23.926600000000008,1.6787,491556201.0,6149517849.18,113.9362,1437.1153,509590374.3333,1430.8108,516576946.6,1457.0036,528175845.5,1507.5913,556175870.6667,1545.3085,518031314.25,1616.7143,527189600.9333,1766.8237,520761029.7,1830.1863,522481382.7667,1972.9572,478012890.96,2040.3539,491175273.5778,1957.324,513458632.8167,1895.1493,501898878.86,1765.0934,500512548.715
20220902,000001.SZ,1425.3419,1424.2025,1457.244,1399.1365,1436.7355,-11.393600000000106,-0.793,502558937.0,6304145256.0,113.9362,1431.4185,563333589.3333,1421.468,508522747.0,1479.0643,541189468.1,1516.777,549531427.5333,1562.7185,514735407.05,1632.2009,531417826.6667,1779.3166,522127611.22,1845.7082,521521558.8,1984.9347,477190744.72,2047.1023,489898355.4444,1957.2827,512289996.7917,1897.7217,501947530.3267,1763.6591,501672427.485
20220826,000001.SZ,1436.7355,1433.3174,1452.6865,1399.1365,1432.178,4.557499999999891,0.3182,534655985.0,6672153361.05,113.9362,1426.4812,529589865.0,1425.3419,493886213.4,1495.7951,541754327.8,1533.8254,542145712.0,1583.3393,517147464.25,1643.747,533509984.9,1796.8545,526512876.28,1862.6362,519503831.65,1996.2391,477072831.0667,2055.079,490248085.5444,1958.0957,510274113.1083,1899.5657,499294712.86,1762.096,502788431.285
