trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount,adj_factor,ma3,ma_v_3,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma90,ma_v_90,ma120,ma_v_120
20221118,000001.SZ,11.59,11.7,12.28,11.57,11.43,0.16000000000000014,1.3998,868381877.0,10333076554.12,113.9362,11.28,687042909.6667,11.07,618679293.8,11.629,528264081.9,12.3053,534726775.0,13.0201,519244965.3333,14.9521,523150356.3333,16.996,486579735.0333,17.0584,505684478.7917
20221111,000001.SZ,11.43,10.81,11.66,10.69,10.82,0.6099999999999994,5.6377,550050268.0,6090018241.05,113.9362,10.89,592899964.0,11.058,522794589.0,11.721,491681787.9,12.4247,516718057.85,13.1715,508658905.4667,15.0958,520707694.8833,17.1252,481314631.2,17.0766,506077569.2167
20221104,000001.SZ,10.82,10.33,10.85,10.22,10.42,0.40000000000000036,3.8388,642696584.0,6786429829.23,113.9362,10.7767,558321441.3333,11.14,491369038.2,11.839,490142359.6,12.5629,531710845.45,13.3275,507705176.7333,15.2006,525809182.4333,17.2682,484186853.5,17.1021,514585479.5417
20221028,000001.SZ,10.42,11.09,11.1,10.41,11.09,-0.6699999999999999,-6.0415,585953040.0,6263082333.36,113.9362,11.0133,473742031.0,11.434,430407349.4,12.014,491151285.8,12.7252,535328012.55,13.4825,503709281.1667,15.3214,522496449.1167,17.398,483209084.6889,17.1276,517590212.2667
20221021,000001.SZ,11.09,11.42,11.64,11.07,11.53,-0.4399999999999995,-3.8161,446314700.0,5066486602.29,113.9362,11.4867,409398522.3333,11.862,428800569.8,12.21,472688758.2,12.8894,524332045.45,13.6257,502953914.2,15.4656,520564578.2167,17.5208,483975602.3556,17.1448,515901526.1
20221014,000001.SZ,11.53,11.7,11.77,11.31,11.84,-0.3100000000000005,-2.6182,388958353.0,4473123755.82,113.9362,11.8867,373256335.6667,12.188,437848870.0,12.332,473185808.5,13.0314,521610788.15,13.7374,513711636.9333,15.6064,522013396.3833,17.625,487614980.1,17.1563,516143911.925
20220930,000001.SZ,11.84,12.16,12.28,11.81,12.29,-0.4499999999999993,-3.6615,392922514.0,4726317745.73,113.9362,12.23,436243265.3333,12.384,460568986.8,12.447,477227600.1,13.1926,521751530.7,13.8409,526278881.7667,15.7067,522156622.65,17.7119,492282300.8111,17.1657,516252874.45
20220923,000001.SZ,12.29,12.54,12.67,12.2,12.56,-0.27000000000000135,-2.1497,337888140.0,4183942029.26,113.9362,12.5233,469121161.0,12.538,488915681.0,12.544,498509940.7,13.3182,522209685.65,13.9482,526478172.5,15.799,525098553.4667,17.7898,492512528.9889,17.1775,516052949.95
20220916,000001.SZ,12.56,12.88,13.1,12.56,12.72,-0.16000000000000014,-1.2579,577919142.0,7431254484.37,113.9362,12.5967,524011426.6667,12.594,551895222.2,12.6156,542334413.6,13.4385,513428418.75,14.0592,530659159.9667,15.9232,525592583.1667,17.8486,493086800.5444,17.1806,515493810.9917
20220909,000001.SZ,12.72,12.46,12.74,12.28,12.51,0.21000000000000085,1.6787,491556201.0,6149517849.18,113.9362,12.6133,509590374.3333,12.558,516576946.6,12.7879,528175845.5,13.5629,518031314.25,14.1896,527189600.9333,16.0633,522481382.7667,17.9079,491175273.5778,17.1791,513458632.8167
20220902,000001.SZ,12.51,12.5,12.79,12.28,12.61,-0.09999999999999964,-0.793,502558937.0,6304145256.0,113.9362,12.5633,563333589.3333,12.476,508522747.0,12.9815,541189468.1,13.7157,514735407.05,14.3256,531417826.6667,16.1995,521521558.8,17.9671,489898355.4444,17.1788,512289996.7917
20220826,000001.SZ,12.61,12.58,12.75,12.28,12.57,0.03999999999999915,0.3182,534655985.0,6672153361.05,113.9362,12.52,529589865.0,12.51,493886213.4,13.1284,541754327.8,13.8967,517147464.25,14.4269,533509984.9,16.3481,519503831.65,18.0371,490248085.5444,17.1859,510274113.1083
20220819,000001.SZ,12.57,12.29,12.75,12.07,12.38,0.1899999999999995,1.5347,652785846.0,8062057951.11,113.9362,12.42,501799604.3333,12.55,508104200.4,13.2868,573279331.3,14.0717,516486585.3,14.5747,541681226.4333,16.5203,515383212.5167,18.1103,488519039.1889,17.192,508849193.975
20220812,000001.SZ,12.38,12.25,12.41,12.02,12.31,0.07000000000000028,0.5686,401327764.0,4899187472.63,113.9362,12.4567,427329745.3333,12.6372,532773605.0,13.4365,579504739.3,14.2168,509988278.85,14.6904,543276546.6333,16.6817,508147135.1167,18.1749,486679027.5667,17.193,507731560.3833
20220805,000001.SZ,12.31,12.66,12.66,11.94,12.68,-0.3699999999999992,-2.918,451285203.0,5508226064.95,113.9362,12.6,495469130.6667,13.0178,539774744.4,13.5688,575975332.7,14.3336,518086492.2,14.8409,547784865.8,16.858,506186178.5833,18.2234,487641013.4222,17.1928,507644676.8667
20220729,000001.SZ,12.68,12.8,12.91,12.65,12.81,-0.13000000000000078,-1.0148,429376269.0,5497694152.73,113.9362,12.832,603751686.0,13.487,573856189.2,13.7308,570035767.8,14.4401,533974551.15,14.9702,552323880.2667,17.0546,503323985.3,18.2777,488684743.1333,17.1923,505945848.9833
20220722,000001.SZ,12.81,13.25,13.47,12.62,13.24,-0.4299999999999997,-3.2477,605745920.0,7963091534.92,113.9362,13.3663,606070750.0,13.7467,589622442.2,13.9382,566275461.3,14.5379,550804522.6,15.1143,551894419.3667,17.2443,501554491.0167,18.329,489770223.4778,17.1873,504900762.0
20220715,000001.SZ,13.0059,14.2437,14.4696,12.9863,14.283,-1.277099999999999,-8.9414,776132869.0,10693452837.66,111.922,13.9817,611386252.3333,14.0236,638454462.2,14.0924,545909430.6,14.6503,540462288.4,15.2627,551596807.9,17.4154,495287932.4667,18.383,491717222.5667,17.1856,504116615.125
20220708,000001.SZ,14.283,14.6857,15.0001,14.116,14.6562,-0.37320000000000064,-2.5464,436333461.0,6422741837.43,111.922,14.3059,522077807.3333,14.2358,626235873.6,14.2613,484522423.9,14.781,524821533.15,15.431,549684019.4,17.5804,487027993.7667,18.4237,490713974.5778,17.1772,503847712.6333
20220701,000001.SZ,14.6562,13.9883,14.8036,13.9686,13.9784,0.6777999999999995,4.8489,621692427.0,9139037826.61,111.922,14.2764,659935327.0,14.1199,612175921.0,14.3379,507886783.0,14.8905,526696478.65,15.5328,547324684.2,17.7331,481926618.4667,18.4294,486866298.2667,17.1741,505048519.675
