trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount,ma3,ma_v_3,ma5,ma_v_5,ma10,ma_v_10,ma15,ma_v_15,ma20,ma_v_20,ma30,ma_v_30,ma50,ma_v_50,ma60,ma_v_60,ma75,ma_v_75,ma90,ma_v_90,ma120,ma_v_120,ma150,ma_v_150,ma200,ma_v_200
20221125,000001.SZ,12.17,11.48,12.23,11.22,11.59,0.58,0.05,634416447.0,7492642654.13,11.73,684282864.0,11.286,656299643.2,11.574,542550106.5,11.902,533892386.5333,12.2055,535362976.0,13.0023,526204245.0,14.3696,542540000.92,15.054,524392542.5,16.1004,511727420.1733,17.1542,490931235.6111,17.3753,503968068.3667,16.7327,510013612.2,16.0144,504564244.475
20221118,000001.SZ,11.59,11.7,12.28,11.57,11.43,0.16,0.014,868381877.0,10333076554.12,11.28,687042909.6667,11.07,618679293.8,11.629,528264081.9,11.9113,521683636.9333,12.343,534726775.0,13.132,519244965.3333,14.4778,537879550.34,15.16,523150356.3333,16.2653,506995915.6267,17.284,486579735.0333,17.3864,505684478.7917,16.7622,508522945.0267,16.0004,502751197.735
20221111,000001.SZ,11.43,10.81,11.66,10.69,10.82,0.61,0.0564,550050268.0,6090018241.05,10.89,592899964.0,11.058,522794589.0,11.721,491681787.9,11.984,492416596.4,12.475,516718057.85,13.293,508658905.4667,14.609,527526025.16,15.3097,520707694.8833,16.4375,499726912.0933,17.4199,481314631.2,17.4077,506077569.2167,16.7924,505111055.5733,15.9897,500258252.215
20221104,000001.SZ,10.82,10.33,10.85,10.22,10.42,0.4,0.0384,642696584.0,6786429829.23,10.7767,558321441.3333,11.14,491369038.2,11.839,490142359.6,12.076,496129639.8667,12.626,531710845.45,13.4587,507705176.7333,14.7458,530286047.62,15.4198,525809182.4333,16.5983,495456273.9467,17.5699,484186853.5,17.4362,514585479.5417,16.8202,503313080.72,15.9834,498746904.805
20221028,000001.SZ,10.42,11.09,11.1,10.41,11.09,-0.67,-0.0604,585953040.0,6263082333.36,11.0133,473742031.0,11.434,430407349.4,12.014,491151285.8,12.2373,505025392.2,12.801,535328012.55,13.623,503709281.1667,14.8822,529499323.14,15.546,522496449.1167,16.7649,490627473.4533,17.7062,483209084.6889,17.4648,517590212.2667,16.85,501099509.4067,15.9807,497083190.945
20221021,000001.SZ,11.09,11.42,11.64,11.07,11.53,-0.44,-0.0382,446314700.0,5066486602.29,11.4867,409398522.3333,11.862,428800569.8,12.21,472688758.2,12.512,495050753.6,12.9775,524332045.45,13.775,502953914.2,15.0638,524240614.16,15.696,520564578.2167,16.9467,484551445.4933,17.8352,483975602.3556,17.4847,515901526.1,16.8845,500120128.5533,15.9804,495587309.9
20221014,000001.SZ,11.53,11.7,11.77,11.31,11.84,-0.31,-0.0262,388958353.0,4473123755.82,11.8867,373256335.6667,12.188,437848870.0,12.332,473185808.5,12.7673,506742602.0667,13.132,521610788.15,13.8953,513711636.9333,15.2428,524977555.84,15.8427,522013396.3833,17.1093,482751923.0933,17.9453,487614980.1,17.4989,516143911.925,16.9195,499253384.0267,15.9765,495486510.375
20220930,000001.SZ,11.84,12.16,12.28,11.81,12.29,-0.45,-0.0366,392922514.0,4726317745.73,12.23,436243265.3333,12.384,460568986.8,12.447,477227600.1,12.9473,514692547.4667,13.3065,521751530.7,14.0077,526278881.7667,15.4054,527460290.5,15.9482,522156622.65,17.2661,484495250.4133,18.0378,492282300.8111,17.5111,516252874.45,16.9536,499651442.8267,15.9718,495905781.57
20220923,000001.SZ,12.29,12.54,12.67,12.2,12.56,-0.27,-0.0215,337888140.0,4183942029.26,12.5233,469121161.0,12.538,488915681.0,12.544,498509940.7,13.1213,545158114.5333,13.445,522209685.65,14.124,526478172.5,15.5414,521920241.46,16.0457,525098553.4667,17.3784,483386882.3867,18.1211,492512528.9889,17.5257,516052949.95,16.9871,500252317.9133,15.9653,496559415.245
20220916,000001.SZ,12.56,12.88,13.1,12.56,12.72,-0.16,-0.0126,577919142.0,7431254484.37,12.5967,524011426.6667,12.594,551895222.2,12.639,542334413.6,13.2567,570301566.9333,13.5785,513428418.75,14.2443,530659159.9667,15.6542,524081614.38,16.1758,525592583.1667,17.4985,481149303.44,18.185,493086800.5444,17.5316,515493810.9917,17.0177,501731509.5133,15.9593,498870894.355
20220909,000001.SZ,12.72,12.46,12.74,12.28,12.51,0.21,0.0168,491556201.0,6149517849.18,12.6133,509590374.3333,12.558,516576946.6,12.837,528175845.5,13.3493,556175870.6667,13.7165,518031314.25,14.3847,527189600.9333,15.75,520761029.7,16.3222,522481382.7667,17.6177,478012890.96,18.2494,491175273.5778,17.5346,513458632.8167,17.044,501898878.86,15.9524,500512548.715
20220902,000001.SZ,12.51,12.5,12.79,12.28,12.61,-0.1,-0.0079,502558937.0,6304145256.0,12.5633,563333589.3333,12.476,508522747.0,13.057,541189468.1,13.4467,549531427.5333,13.8835,514735407.05,14.5307,531417826.6667,15.8662,522127611.22,16.4647,521521558.8,17.73,477190744.72,18.3139,489898355.4444,17.5388,512289996.7917,17.0713,501947530.3267,15.9426,501672427.485
20220826,000001.SZ,12.61,12.58,12.75,12.28,12.57,0.04,0.0032,534655985.0,6672153361.05,12.52,529589865.0,12.51,493886213.4,13.229,541754327.8,13.614,542145712.0,14.079,517147464.25,14.6413,533509984.9,16.0274,526512876.28,16.6197,519503831.65,17.8361,477072831.0667,18.3893,490248085.5444,17.5508,510274113.1083,17.0918,499294712.86,15.9316,502788431.285
20220819,000001.SZ,12.57,12.29,12.75,12.07,12.38,0.19,0.0153,652785846.0,8062057951.11,12.42,501799604.3333,12.55,508104200.4,13.413,573279331.3,13.7473,533307687.2,14.2685,516486585.3,14.7993,541681226.4333,16.136,532942547.0,16.7988,515383212.5167,17.9544,476945345.7467,18.4681,488519039.1889,17.5618,508849193.975,17.1137,500507390.8333,15.9238,502844218.425
20220812,000001.SZ,12.38,12.25,12.41,12.02,12.31,0.07,0.0057,401327764.0,4899187472.63,12.4567,427329745.3333,12.684,532773605.0,13.588,579504739.3,13.9067,500606150.9333,14.4275,509988278.85,14.9247,543276546.6333,16.2524,528765481.78,16.9668,508147135.1167,18.0847,477057797.9733,18.538,486679027.5667,17.5674,507731560.3833,17.1322,500929679.9867,15.9142,502140441.84
20220805,000001.SZ,12.31,12.66,12.66,11.94,12.68,-0.37,-0.0292,451285203.0,5508226064.95,12.6,495469130.6667,13.116,539774744.4,13.745,575975332.7,14.1027,518516103.4667,14.5575,518086492.2,15.0853,547784865.8,16.3932,530139742.22,17.15,506186178.5833,18.2047,482339005.4267,18.5913,487641013.4222,17.5717,507644676.8667,17.1475,500964835.98,15.9016,501900933.9
20220729,000001.SZ,12.68,12.8,12.91,12.65,12.81,-0.13,-0.0101,429376269.0,5497694152.73,12.91,603751686.0,13.638,573856189.2,13.932,570035767.8,14.3527,516806293.7333,14.677,533974551.15,15.2243,552323880.2667,16.5448,531778913.96,17.3538,503323985.3,18.3585,479558954.6533,18.6506,488684743.1333,17.5757,505945848.9833,17.1642,501921137.3267,15.89,501998659.79
20220722,000001.SZ,12.81,13.25,13.47,12.62,13.24,-0.43,-0.0325,605745920.0,7963091534.92,13.53,606070750.0,13.948,589622442.2,14.166,566275461.3,14.602,524901214.5333,14.788,550804522.6,15.3787,551894419.3667,16.6484,531142427.16,17.5508,501554491.0167,18.5071,479094238.16,18.7069,489770223.4778,17.5751,504900762.0,17.1741,502397981.2,15.8773,503209712.405
20220715,000001.SZ,13.24,14.5,14.73,13.22,14.54,-1.3,-0.0894,776132869.0,10693452837.66,14.2333,611386252.3333,14.276,638454462.2,14.346,545909430.6,14.8413,519280713.6,14.914,540462288.4,15.5373,551596807.9,16.746,530416276.02,17.7288,495287932.4667,18.6687,481798296.2267,18.766,491717222.5667,17.5779,504116615.125,17.1863,504489054.2933,15.8634,503529839.565
