,ts_code,trade_date,price,vol,amount,buyer,seller
0,000001.SZ,20220928,12.11,165.0,1998.15,中国国际金融股份有限公司深圳分公司,中信证券股份有限公司上海分公司
1,000001.SZ,20220715,12.03,118.0,1419.54,中信建投证券股份有限公司南京龙园西路证券营业部,中信建投证券股份有限公司南京龙园西路证券营业部
2,000001.SZ,20220525,13.15,150.0,1972.5,中信证券股份有限公司深圳分公司,中信证券股份有限公司深圳分公司
3,000001.SZ,20220421,14.27,40.0,570.8,世纪证券有限责任公司东莞鸿福路证券营业部,长城证券股份有限公司深圳后海中心路证券营业部
4,000001.SZ,20220419,14.31,44.0,629.64,世纪证券有限责任公司东莞鸿福路证券营业部,长城证券股份有限公司深圳后海中心路证券营业部
5,000001.SZ,20220415,14.44,50.0,722.0,世纪证券有限责任公司东莞鸿福路证券营业部,长城证券股份有限公司深圳后海中心路证券营业部
6,000001.SZ,20220414,14.22,49.0,696.78,世纪证券有限责任公司东莞鸿福路证券营业部,长城证券股份有限公司深圳后海中心路证券营业部
7,000001.SZ,20220413,14.33,29.0,415.57,世纪证券有限责任公司东莞鸿福路证券营业部,长城证券股份有限公司深圳后海中心路证券营业部
8,000001.SZ,20220331,15.99,18.0,287.82,华泰证券股份有限公司南京止马营证券营业部,华泰证券股份有限公司南京止马营证券营业部
9,000001.SZ,20220324,13.5,120.0,1620.0,中信建投证券股份有限公司南京龙园西路证券营业部,中信建投证券股份有限公司南京龙园西路证券营业部
10,000001.SZ,20220323,15.18,150.55,2285.38,中国中金财富证券有限公司上海静安区灵石路证券营业部,中信建投证券股份有限公司上海浦东新区福山路证券营业部
11,000001.SZ,20220124,15.62,30.93,483.13,光大证券股份有限公司深圳深南大道证券营业部,万联证券股份有限公司上海富贵东路证券营业部
12,000001.SZ,20220124,17.2,37.94,652.57,华泰证券股份有限公司南宁民族大道证券营业部,华泰证券股份有限公司南宁民族大道证券营业部
13,000001.SZ,20220120,15.3,1626.28,24882.08,申万宏源证券有限公司河南分公司,华泰证券股份有限公司河南分公司
14,000001.SZ,20220120,17.33,45.8,793.71,华泰证券股份有限公司南宁民族大道证券营业部,华泰证券股份有限公司南宁民族大道证券营业部
15,000001.SZ,20220119,15.36,500.0,7680.0,申万宏源证券有限公司河南分公司,华泰证券股份有限公司河南分公司
16,000001.SZ,20220117,16.22,43.5,705.57,华泰证券股份有限公司南宁民族大道证券营业部,华泰证券股份有限公司南宁民族大道证券营业部
17,000001.SZ,20220104,16.2,82.0,1328.4,中信建投证券股份有限公司上海浦东新区福山路证券营业部,国泰君安证券股份有限公司上海江苏路证券营业部
18,000001.SZ,20211230,15.08,64.0,965.12,中信建投证券股份有限公司南京龙园西路证券营业部,中信建投证券股份有限公司南京龙园西路证券营业部
19,000001.SZ,20211220,17.52,39.1,685.03,机构专用,机构专用
20,000001.SZ,20211220,17.52,14.94,261.75,机构专用,机构专用
21,000001.SZ,20211216,17.72,12.5,221.5,机构专用,机构专用
22,000001.SZ,20210922,17.98,28.0,503.44,中国国际金融股份有限公司深圳分公司,中信证券股份有限公司上海分公司
23,000001.SZ,20210917,18.53,38.0,704.14,中国国际金融股份有限公司深圳分公司,中信证券股份有限公司上海分公司
24,000001.SZ,20210917,18.53,16.0,296.48,华泰证券股份有限公司上海黄浦区黄陂南路证券营业部,中信证券股份有限公司上海分公司
25,000001.SZ,20210901,17.88,16.7,298.6,国泰君安证券股份有限公司北京苏州桥证券营业部,中信证券股份有限公司上海分公司
26,000001.SZ,20210803,18.02,83.24,1499.98,国泰君安证券股份有限公司深圳华发路证券营业部,中信证券股份有限公司上海分公司
27,000001.SZ,20210729,17.96,222.0,3987.12,机构专用,机构专用
28,000001.SZ,20210727,17.76,114.0,2024.64,中信建投证券股份有限公司上海浦东新区福山路证券营业部,中信证券股份有限公司上海分公司
29,000001.SZ,20210727,17.76,39.1,694.42,机构专用,机构专用
30,000001.SZ,20210722,20.45,200.0,4090.0,机构专用,东海证券股份有限公司常州博爱路证券营业部
31,000001.SZ,20210526,25.01,40.0,1000.4,国泰君安证券股份有限公司北京苏州桥证券营业部,中信证券股份有限公司上海分公司
32,000001.SZ,20210525,22.5,315.0,7087.5,申万宏源证券有限公司河南分公司,申万宏源证券有限公司河南分公司
33,000001.SZ,20210525,24.6,16.26,400.0,中信建投证券股份有限公司上海浦东新区福山路证券营业部,中信证券股份有限公司上海分公司
34,000001.SZ,20210506,23.5,37.04,870.41,中国银河证券股份有限公司北京安贞门证券营业部,机构专用
35,000001.SZ,20210331,22.01,26.15,575.56,华泰证券股份有限公司南宁中泰路证券营业部,华泰证券股份有限公司南宁中泰路证券营业部
36,000001.SZ,20210325,20.75,75.6,1568.7,华泰证券股份有限公司南宁中泰路证券营业部,华泰证券股份有限公司南宁中泰路证券营业部
37,000001.SZ,20210202,23.28,12.88,299.76,财通证券股份有限公司新昌环城南路证券营业部,招商证券股份有限公司深圳益田路免税商务大厦证券营业部
38,000001.SZ,20210127,23.08,222.0,5123.76,机构专用,机构专用
39,000001.SZ,20210127,23.08,30.0,692.4,申万宏源证券有限公司深圳分公司,中信证券股份有限公司深圳福田金田路证券营业部
40,000001.SZ,20210111,20.38,15.0,305.7,国联证券股份有限公司深圳益田路证券营业部,中信证券股份有限公司深圳福田金田路证券营业部
41,000001.SZ,20210108,17.92,12.22,218.98,国泰君安证券股份有限公司仙居酒坊巷证券营业部,国泰君安证券股份有限公司仙居酒坊巷证券营业部
42,000001.SZ,20210107,17.65,17.5,308.88,国泰君安证券股份有限公司仙居酒坊巷证券营业部,国泰君安证券股份有限公司仙居酒坊巷证券营业部
43,000001.SZ,20210106,16.5,18.5,305.25,国泰君安证券股份有限公司仙居酒坊巷证券营业部,国泰君安证券股份有限公司仙居酒坊巷证券营业部
44,000001.SZ,20210105,18.17,19.49,354.13,机构专用,中信建投证券股份有限公司上海营口路证券营业部
45,000001.SZ,20201110,17.75,1439.0,25542.25,机构专用,新时代证券股份有限公司深圳彩田路证券营业部
46,000001.SZ,20201110,17.75,1105.0,19613.75,机构专用,新时代证券股份有限公司深圳彩田路证券营业部
47,000001.SZ,20201110,17.75,440.0,7810.0,机构专用,新时代证券股份有限公司深圳彩田路证券营业部
48,000001.SZ,20201110,17.75,280.0,4970.0,机构专用,新时代证券股份有限公司深圳彩田路证券营业部
49,000001.SZ,20201110,17.75,440.0,7810.0,机构专用,新时代证券股份有限公司深圳彩田路证券营业部
50,000001.SZ,20201110,17.75,195.0,3461.25,机构专用,新时代证券股份有限公司深圳彩田路证券营业部
51,000001.SZ,20201110,17.75,510.0,9052.5,机构专用,新时代证券股份有限公司深圳彩田路证券营业部
52,000001.SZ,20201110,17.75,280.0,4970.0,机构专用,新时代证券股份有限公司深圳彩田路证券营业部
53,000001.SZ,20201110,17.75,220.0,3905.0,机构专用,新时代证券股份有限公司深圳彩田路证券营业部
54,000001.SZ,20201110,17.75,28.0,497.0,机构专用,新时代证券股份有限公司深圳彩田路证券营业部
55,000001.SZ,20201110,17.75,22.0,390.5,机构专用,新时代证券股份有限公司深圳彩田路证券营业部
