,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
0,000001.SZ,20221025,20221025,20220930,2,1,3,,,,,209817000000.0,14583000000.0,,,,,,185518000000.0,,6998000000.0,,85639000000.0,548476000000.0,,17377000000.0,21230000000.0,284593000000.0,15230000000.0,,51836000000.0,,19831000000.0,455958000000.0,92518000000.0,,385544000000.0,28719000000.0,224000000.0,,414487000000.0,2435000000.0,398438000000.0,,,,400873000000.0,13614000000.0,,,,518755000000.0,,652211000000.0,9841000000.0,,,664138000000.0,-145383000000.0,5746000000.0,-33505000000.0,225222000000.0,191717000000.0,,,,,,,,,,,,,,,,,,,,,,,,,45861000000.0,,,,,,,,,0
1,000001.SZ,20220818,20220818,20220630,2,1,2,22088000000.0,,,,298156000000.0,,,,,,,123815000000.0,,8954000000.0,,63014000000.0,523144000000.0,,13088000000.0,16378000000.0,195267000000.0,13779000000.0,,34288000000.0,,13690000000.0,372661000000.0,150483000000.0,,267658000000.0,20217000000.0,104000000.0,,287979000000.0,616000000.0,298016000000.0,,,,298632000000.0,-10653000000.0,,,,381613000000.0,,535451000000.0,5288000000.0,,,542038000000.0,-160425000000.0,3078000000.0,-17517000000.0,225222000000.0,207705000000.0,,,,-49000000.0,964000000.0,321000000.0,349000000.0,,,-55000000.0,,-3248000000.0,,-1088000000.0,,,-211420000000.0,308923000000.0,,150483000000.0,,,,-17517000000.0,38202000000.0,,,,,3596000000.0,3685000000.0,204109000000.0,221537000000.0,0
2,000001.SZ,20220427,20220427,20220331,2,1,1,,,,,186820000000.0,59701000000.0,,,,,,62357000000.0,,3442000000.0,,47146000000.0,359715000000.0,,9111000000.0,3763000000.0,107036000000.0,10108000000.0,,16614000000.0,,5025000000.0,212588000000.0,147127000000.0,,131168000000.0,8830000000.0,79000000.0,,140077000000.0,204000000.0,144830000000.0,,,,145034000000.0,-4957000000.0,,223444000000.0,,223444000000.0,,281719000000.0,3030000000.0,,,285397000000.0,-61953000000.0,-477000000.0,79740000000.0,225222000000.0,304962000000.0,,,,,,,,,,,,,,,,,,,,,,,,,8374000000.0,,,,,,,,,0
3,000001.SZ,20220310,20220310,20211231,2,1,4,36336000000.0,,,,162932000000.0,23452000000.0,,,,,,230719000000.0,,3112000000.0,,43305000000.0,486048000000.0,,20560000000.0,23411000000.0,447389000000.0,,,70444000000.0,,39233000000.0,678781000000.0,-192733000000.0,,483160000000.0,36017000000.0,559000000.0,,519736000000.0,6614000000.0,553577000000.0,,,,560191000000.0,-40455000000.0,,,,1112799000000.0,,917740000000.0,11237000000.0,,,931735000000.0,181064000000.0,-1604000000.0,-53728000000.0,278950000000.0,225222000000.0,,,,1198000000.0,1796000000.0,959000000.0,704000000.0,,,42000000.0,,-2734000000.0,,-1143000000.0,,,-500983000000.0,207708000000.0,,-192733000000.0,,,,-53728000000.0,8629000000.0,,,,,3685000000.0,3805000000.0,221537000000.0,275145000000.0,0
4,000001.SZ,20211021,20211021,20210930,2,1,3,,,,,126314000000.0,48738000000.0,,,,,,171951000000.0,,8211000000.0,,38679000000.0,395720000000.0,,16350000000.0,18147000000.0,341294000000.0,,,50850000000.0,,28977000000.0,521528000000.0,-125808000000.0,,357583000000.0,25073000000.0,533000000.0,,383189000000.0,5933000000.0,407095000000.0,,,,413028000000.0,-29839000000.0,,,,789120000000.0,,625691000000.0,8803000000.0,,,636493000000.0,152627000000.0,-1142000000.0,-4162000000.0,278950000000.0,274788000000.0,,,,,,,,,,,,,,,,,,,,,,,,,158000000.0,,,,,,,,,0
5,000001.SZ,20210820,20210820,20210630,2,1,2,17583000000.0,,,,102891000000.0,,,,,,,114693000000.0,,1173000000.0,,37510000000.0,256267000000.0,,12357000000.0,13495000000.0,227658000000.0,13502000000.0,,32984000000.0,,21216000000.0,372239000000.0,-115972000000.0,,220387000000.0,17713000000.0,331000000.0,,238431000000.0,4310000000.0,246627000000.0,,,,250937000000.0,-12506000000.0,,,,522751000000.0,,364215000000.0,8506000000.0,,,374052000000.0,148699000000.0,-1054000000.0,19167000000.0,278950000000.0,298117000000.0,,,,1273000000.0,868000000.0,499000000.0,339000000.0,,,18000000.0,,-1373000000.0,,-462000000.0,,,-242594000000.0,75267000000.0,,-115972000000.0,,,,19167000000.0,7745000000.0,,,,,3775000000.0,3805000000.0,294342000000.0,275145000000.0,0
6,000001.SZ,20210421,20210421,20210331,2,1,1,,,,,75498000000.0,,,,,,,57614000000.0,,7009000000.0,,33618000000.0,200992000000.0,,8617000000.0,2705000000.0,121222000000.0,15104000000.0,,17478000000.0,,12697000000.0,212545000000.0,-11553000000.0,,89125000000.0,7807000000.0,15000000.0,,96947000000.0,3550000000.0,106909000000.0,,,,110459000000.0,-13512000000.0,,257625000000.0,,257625000000.0,,225268000000.0,2112000000.0,,95000000.0,228136000000.0,29489000000.0,17000000.0,4441000000.0,278950000000.0,283391000000.0,,,,,,,,,,,,,,,,,,,,,,,,,16777000000.0,,,,,,,,,0
7,000001.SZ,20210202,20210202,20201231,2,1,4,28928000000.0,,,,335675000000.0,11012000000.0,,,,,,218484000000.0,,20442000000.0,,46996000000.0,653612000000.0,,17829000000.0,24525000000.0,405611000000.0,,,80185000000.0,,23657000000.0,669773000000.0,-16161000000.0,,661967000000.0,36942000000.0,377000000.0,,699286000000.0,3490000000.0,679852000000.0,,,,683342000000.0,15944000000.0,,,,806570000000.0,,690400000000.0,9904000000.0,,,703169000000.0,103401000000.0,-3292000000.0,99892000000.0,179058000000.0,278950000000.0,,,,807000000.0,1531000000.0,1059000000.0,630000000.0,,,26000000.0,,716000000.0,,-3688000000.0,,,-483076000000.0,382515000000.0,,-16161000000.0,,,,99892000000.0,,,,,,3805000000.0,5459000000.0,275145000000.0,173599000000.0,0
8,000001.SZ,20201022,20201022,20200930,2,1,3,,,,,167697000000.0,8850000000.0,,,,,,163285000000.0,,33864000000.0,,56190000000.0,512667000000.0,,14058000000.0,20380000000.0,303639000000.0,,,60963000000.0,,18399000000.0,481969000000.0,30698000000.0,,534695000000.0,28947000000.0,254000000.0,,563896000000.0,1695000000.0,546126000000.0,,,,547821000000.0,16075000000.0,,589968000000.0,,589968000000.0,,511450000000.0,7758000000.0,,,521324000000.0,68644000000.0,-1404000000.0,114013000000.0,179058000000.0,293071000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,000001.SZ,20200828,20200828,20200630,2,1,2,13678000000.0,,,,72998000000.0,6205000000.0,,,,,,106146000000.0,,23915000000.0,,71259000000.0,322208000000.0,,10514000000.0,15380000000.0,205716000000.0,,,40375000000.0,,10992000000.0,347874000000.0,-25666000000.0,,371209000000.0,19644000000.0,114000000.0,,390967000000.0,782000000.0,390977000000.0,,,,391759000000.0,-792000000.0,,,,352424000000.0,,299680000000.0,7128000000.0,,,308231000000.0,44193000000.0,862000000.0,18597000000.0,179058000000.0,197655000000.0,,,,637000000.0,733000000.0,468000000.0,270000000.0,,,14000000.0,,-98000000.0,,-2450000000.0,,,-220729000000.0,152237000000.0,,-25666000000.0,,,,18597000000.0,,,,,,4878000000.0,5459000000.0,192777000000.0,173599000000.0,1
