,ts_code,trade_date,price,percent
0,000001.SZ,20221118,3.06,0.1
1,000001.SZ,20221118,20.06,0.56
2,000001.SZ,20221118,22.06,0.5
3,000001.SZ,20221118,15.31,0.82
4,000001.SZ,20221118,21.56,0.49
5,000001.SZ,20221118,14.31,2.01
6,000001.SZ,20221118,4.81,0.11
7,000001.SZ,20221118,7.06,0.25
8,000001.SZ,20221118,8.06,0.34
9,000001.SZ,20221118,6.81,0.25
10,000001.SZ,20221118,19.81,0.58
11,000001.SZ,20221118,5.31,0.17
12,000001.SZ,20221118,16.06,1.03
13,000001.SZ,20221118,0.81,0.04
14,000001.SZ,20221118,10.31,2.3
15,000001.SZ,20221118,7.31,0.26
16,000001.SZ,20221118,3.56,0.1
17,000001.SZ,20221118,1.06,0.07
18,000001.SZ,20221118,0.31,0.04
19,000001.SZ,20221118,24.31,0.44
20,000001.SZ,20221118,11.81,6.53
21,000001.SZ,20221118,2.56,0.1
22,000001.SZ,20221118,14.81,1.03
23,000001.SZ,20221118,23.81,0.48
24,000001.SZ,20221118,15.56,1.03
25,000001.SZ,20221118,25.31,0.0
26,000001.SZ,20221118,14.06,2.13
27,000001.SZ,20221118,19.31,0.65
28,000001.SZ,20221118,12.31,7.02
29,000001.SZ,20221118,0.56,0.04
30,000001.SZ,20221118,6.31,0.25
31,000001.SZ,20221118,2.31,0.09
32,000001.SZ,20221118,9.06,0.35
33,000001.SZ,20221118,19.56,0.62
34,000001.SZ,20221118,22.31,0.52
35,000001.SZ,20221118,5.81,0.23
36,000001.SZ,20221118,22.56,0.52
37,000001.SZ,20221118,13.31,0.81
38,000001.SZ,20221118,17.06,0.89
39,000001.SZ,20221118,10.81,4.26
40,000001.SZ,20221118,23.56,0.48
41,000001.SZ,20221118,8.56,0.36
42,000001.SZ,20221118,6.06,0.24
43,000001.SZ,20221118,1.31,0.09
44,000001.SZ,20221118,17.31,0.88
45,000001.SZ,20221118,5.06,0.13
46,000001.SZ,20221118,7.81,0.33
47,000001.SZ,20221118,19.06,0.71
48,000001.SZ,20221118,12.81,3.93
49,000001.SZ,20221118,12.06,6.89
50,000001.SZ,20221118,2.06,0.09
51,000001.SZ,20221118,3.31,0.1
52,000001.SZ,20221118,11.56,4.08
53,000001.SZ,20221118,1.81,0.09
54,000001.SZ,20221118,15.06,0.78
55,000001.SZ,20221118,13.06,1.71
56,000001.SZ,20221118,20.81,0.52
57,000001.SZ,20221118,20.31,0.51
58,000001.SZ,20221118,4.06,0.11
59,000001.SZ,20221118,9.56,0.4
60,000001.SZ,20221118,21.31,0.5
61,000001.SZ,20221118,3.81,0.11
62,000001.SZ,20221118,18.56,0.62
63,000001.SZ,20221118,4.31,0.11
64,000001.SZ,20221118,9.31,0.36
65,000001.SZ,20221118,13.81,1.71
66,000001.SZ,20221118,10.06,0.5
67,000001.SZ,20221118,22.81,0.5
68,000001.SZ,20221118,10.56,6.52
69,000001.SZ,20221118,16.81,0.88
70,000001.SZ,20221118,25.06,0.0
71,000001.SZ,20221118,18.06,0.75
72,000001.SZ,20221118,4.56,0.11
73,000001.SZ,20221118,21.81,0.5
74,000001.SZ,20221118,18.31,0.68
75,000001.SZ,20221118,17.81,0.75
76,000001.SZ,20221118,7.56,0.29
77,000001.SZ,20221118,11.06,2.89
78,000001.SZ,20221118,8.31,0.36
79,000001.SZ,20221118,13.56,0.97
80,000001.SZ,20221118,15.81,0.92
81,000001.SZ,20221118,8.81,0.36
82,000001.SZ,20221118,1.56,0.09
83,000001.SZ,20221118,23.31,0.49
84,000001.SZ,20221118,16.31,0.81
85,000001.SZ,20221118,12.56,6.56
86,000001.SZ,20221118,21.06,0.52
87,000001.SZ,20221118,5.56,0.2
88,000001.SZ,20221118,18.81,0.62
89,000001.SZ,20221118,24.81,0.05
90,000001.SZ,20221118,14.56,1.73
91,000001.SZ,20221118,6.56,0.25
92,000001.SZ,20221118,9.81,0.4
93,000001.SZ,20221118,23.06,0.49
94,000001.SZ,20221118,17.56,0.86
95,000001.SZ,20221118,24.56,0.34
96,000001.SZ,20221118,2.81,0.1
97,000001.SZ,20221118,16.56,0.81
98,000001.SZ,20221118,24.06,0.45
99,000001.SZ,20221118,20.56,0.52
100,000001.SZ,20221118,11.31,3.97
101,000001.SZ,20221117,8.81,0.36
102,000001.SZ,20221117,12.56,6.6
103,000001.SZ,20221117,21.06,0.52
104,000001.SZ,20221117,14.06,2.14
105,000001.SZ,20221117,4.06,0.11
106,000001.SZ,20221117,17.06,0.89
107,000001.SZ,20221117,23.81,0.48
108,000001.SZ,20221117,24.81,0.05
109,000001.SZ,20221117,19.31,0.65
110,000001.SZ,20221117,3.06,0.1
111,000001.SZ,20221117,9.06,0.35
112,000001.SZ,20221117,3.56,0.1
113,000001.SZ,20221117,11.06,2.91
114,000001.SZ,20221117,6.31,0.25
115,000001.SZ,20221117,9.81,0.4
116,000001.SZ,20221117,17.56,0.86
117,000001.SZ,20221117,25.31,0.0
118,000001.SZ,20221117,14.56,1.74
119,000001.SZ,20221117,7.56,0.29
120,000001.SZ,20221117,23.31,0.49
121,000001.SZ,20221117,17.31,0.88
122,000001.SZ,20221117,15.56,1.03
123,000001.SZ,20221117,0.56,0.04
124,000001.SZ,20221117,13.31,0.81
125,000001.SZ,20221117,13.06,1.72
126,000001.SZ,20221117,16.06,1.03
127,000001.SZ,20221117,2.56,0.1
128,000001.SZ,20221117,1.31,0.09
129,000001.SZ,20221117,12.06,6.94
130,000001.SZ,20221117,19.81,0.58
131,000001.SZ,20221117,15.81,0.92
132,000001.SZ,20221117,18.06,0.75
133,000001.SZ,20221117,20.81,0.52
134,000001.SZ,20221117,11.81,6.46
135,000001.SZ,20221117,10.31,2.32
136,000001.SZ,20221117,22.81,0.5
137,000001.SZ,20221117,13.56,0.97
138,000001.SZ,20221117,12.81,3.96
139,000001.SZ,20221117,16.31,0.81
140,000001.SZ,20221117,12.31,7.07
141,000001.SZ,20221117,0.81,0.04
142,000001.SZ,20221117,20.31,0.51
143,000001.SZ,20221117,24.56,0.34
144,000001.SZ,20221117,20.56,0.52
145,000001.SZ,20221117,22.31,0.52
146,000001.SZ,20221117,13.81,1.72
147,000001.SZ,20221117,5.06,0.13
148,000001.SZ,20221117,11.31,4.0
149,000001.SZ,20221117,4.81,0.11
150,000001.SZ,20221117,10.56,6.56
151,000001.SZ,20221117,15.06,0.78
152,000001.SZ,20221117,2.31,0.09
153,000001.SZ,20221117,15.31,0.82
154,000001.SZ,20221117,2.81,0.1
