,ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate
0,000001.SZ,20221118,0.31,25.31,8.31,10.56,12.31,17.81,22.06,13.45,31.99
1,000001.SZ,20221117,0.31,25.31,8.31,10.56,12.31,17.81,22.06,13.45,31.82
2,000001.SZ,20221116,0.31,25.31,8.31,10.56,12.31,17.81,22.06,13.46,37.71
3,000001.SZ,20221115,0.31,25.31,8.31,10.56,12.31,17.81,22.06,13.47,37.05
4,000001.SZ,20221114,0.31,25.31,8.31,10.56,12.31,17.81,22.06,13.49,36.89
5,000001.SZ,20221111,0.31,25.31,8.31,10.56,12.56,18.06,22.06,13.56,30.27
6,000001.SZ,20221110,0.31,25.31,8.31,10.56,12.56,18.06,22.31,13.64,23.16
7,000001.SZ,20221109,0.31,25.31,8.31,10.56,12.56,18.06,22.31,13.65,22.8
8,000001.SZ,20221108,0.31,25.31,8.31,10.56,12.56,18.06,22.31,13.66,22.62
9,000001.SZ,20221107,0.31,25.31,8.31,10.56,12.56,18.06,22.31,13.67,22.25
10,000001.SZ,20221104,0.31,25.31,8.31,10.56,12.56,18.06,22.31,13.68,21.55
11,000001.SZ,20221103,0.31,25.31,8.31,10.56,12.56,18.31,22.31,13.75,11.02
12,000001.SZ,20221102,0.31,25.31,8.31,10.56,12.56,18.31,22.31,13.78,16.47
13,000001.SZ,20221101,0.31,25.31,8.31,10.81,12.56,18.31,22.31,13.84,14.88
14,000001.SZ,20221031,0.31,25.31,8.31,10.81,12.56,18.31,22.31,13.88,10.05
15,000001.SZ,20221028,0.31,25.31,8.31,11.06,12.56,18.31,22.31,13.91,9.18
16,000001.SZ,20221027,0.31,25.31,8.31,11.06,12.81,18.31,22.31,13.94,11.84
17,000001.SZ,20221026,0.31,25.31,8.31,11.31,12.81,18.31,22.31,13.97,11.13
18,000001.SZ,20221025,0.31,25.31,8.31,11.31,12.81,18.31,22.31,14.0,10.27
19,000001.SZ,20221024,0.31,25.31,8.31,11.31,12.81,18.31,22.31,14.04,9.26
20,000001.SZ,20221021,0.31,25.31,8.31,11.31,12.81,18.31,22.31,14.08,11.23
21,000001.SZ,20221020,0.31,25.31,8.31,11.56,12.81,18.31,22.31,14.1,10.63
22,000001.SZ,20221019,0.31,25.31,8.31,11.56,12.81,18.31,22.31,14.11,10.03
23,000001.SZ,20221018,0.31,25.31,8.31,11.56,12.81,18.31,22.31,14.13,13.12
24,000001.SZ,20221017,0.31,25.31,8.31,11.56,12.81,18.31,22.31,14.15,12.74
25,000001.SZ,20221014,0.31,25.31,8.31,11.81,12.81,18.31,22.31,14.18,11.98
26,000001.SZ,20221013,0.31,25.31,8.31,11.81,12.81,18.31,22.31,14.2,11.5
27,000001.SZ,20221012,0.31,25.31,8.31,11.81,13.06,18.31,22.31,14.23,12.54
28,000001.SZ,20221011,0.31,25.31,8.31,11.81,13.06,18.31,22.31,14.23,10.61
29,000001.SZ,20221010,0.31,25.31,8.31,12.06,13.06,18.31,22.31,14.24,10.43
30,000001.SZ,20220930,0.31,25.31,8.31,12.06,13.06,18.31,22.31,14.26,13.87
31,000001.SZ,20220929,0.31,25.31,8.31,12.06,13.06,18.31,22.31,14.28,12.52
32,000001.SZ,20220928,0.31,25.31,8.31,12.06,13.06,18.31,22.31,14.3,18.92
33,000001.SZ,20220927,0.31,25.31,8.31,12.06,13.06,18.31,22.31,14.31,18.28
34,000001.SZ,20220926,0.31,25.31,8.31,12.06,13.31,18.31,22.31,14.33,11.68
35,000001.SZ,20220923,0.31,25.31,8.31,12.06,13.31,18.31,22.31,14.34,16.88
36,000001.SZ,20220922,0.31,25.31,8.31,12.06,13.31,18.31,22.31,14.35,16.86
37,000001.SZ,20220921,0.31,25.31,8.31,12.06,13.31,18.31,22.31,14.35,27.65
38,000001.SZ,20220920,0.31,25.31,8.31,12.06,13.31,18.31,22.31,14.36,27.19
39,000001.SZ,20220919,0.31,25.31,8.31,12.06,13.56,18.31,22.31,14.37,38.42
40,000001.SZ,20220916,0.31,25.31,8.31,12.06,13.56,18.31,22.31,14.38,26.87
41,000001.SZ,20220915,0.31,25.31,8.31,12.06,13.56,18.31,22.31,14.4,44.53
42,000001.SZ,20220914,0.31,25.31,8.31,12.06,13.81,18.56,22.31,14.45,38.39
43,000001.SZ,20220913,0.31,25.31,8.31,12.06,13.81,18.56,22.31,14.46,43.61
44,000001.SZ,20220909,0.31,25.31,8.31,12.06,13.81,18.56,22.31,14.5,38.67
45,000001.SZ,20220908,0.31,25.31,8.31,12.06,14.06,18.81,22.31,14.59,28.31
46,000001.SZ,20220907,0.31,25.31,8.31,12.06,14.06,18.81,22.31,14.6,27.91
47,000001.SZ,20220906,0.31,25.31,8.31,12.06,14.06,18.81,22.31,14.62,27.25
48,000001.SZ,20220905,0.31,25.31,8.31,12.06,14.06,18.81,22.31,14.63,35.44
49,000001.SZ,20220902,0.31,25.31,8.31,12.06,14.06,18.81,22.31,14.64,26.96
