trade_date,turnover_rate_f,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
20221202,1.6326,6.8895,5.7076,0.7043,1.4779,1.3872,1.3953,1.7674,1940591.8198,1940554.695,860090.6226,25033634.4754,25033155.5655
20221201,2.3285,6.9963,5.7961,0.7152,1.5008,1.4087,1.374,1.7405,1940591.8198,1940554.695,860090.6226,25421752.8394,25421266.5045
20221130,3.7317,6.9589,5.7651,0.7114,1.4928,1.4012,1.3814,1.7498,1940591.8198,1940554.695,860090.6226,25285911.412,25285427.6759
20221129,5.5218,6.9376,5.7474,0.7092,1.4882,1.3969,1.3857,1.7552,1940591.8198,1940554.695,860090.6226,25208287.7392,25207805.4881
20221128,1.5482,6.3074,5.2254,0.6448,1.3531,1.27,1.5241,1.9306,1940591.8198,1940554.695,860090.6226,22918389.3918,22917950.948
20221125,2.0471,6.4996,5.3846,0.6644,1.3943,1.3087,1.479,1.8735,1940591.8198,1940554.695,860090.6226,23617002.447,23616550.6382
20221124,0.9263,6.286,5.2077,0.6426,1.3485,1.2657,1.5293,1.9371,1940591.8198,1940554.695,860090.6226,22840765.719,22840328.7602
20221123,1.4506,6.3127,5.2298,0.6453,1.3542,1.2711,1.5228,1.9289,1940591.8198,1940554.695,860090.6226,22937795.31,22937356.4949
20221122,1.7339,6.3127,5.2298,0.6453,1.3542,1.2711,1.5228,1.9289,1940591.8198,1940554.695,860090.6226,22937795.31,22937356.4949
20221121,1.2182,6.1204,5.0705,0.6257,1.313,1.2324,1.5707,1.9895,1940591.8198,1940554.695,860090.6226,22239182.2549,22238756.8047
20221118,1.0093,6.1899,5.128,0.6328,1.3278,1.2464,1.5531,1.9672,1940591.8198,1940554.695,860090.6226,22491459.1915,22491028.9151
20221117,1.2685,6.2433,5.1723,0.6382,1.3393,1.2571,1.5398,1.9504,1940591.8198,1940554.695,860090.6226,22685518.3735,22685084.3846
20221116,1.4867,6.3127,5.2298,0.6453,1.3542,1.2711,1.5228,1.9289,1940591.8198,1940554.695,860090.6226,22937795.31,22937356.4949
20221115,1.8299,6.4142,5.3138,0.6557,1.376,1.2915,1.4988,1.8984,1940591.8198,1940554.695,860090.6226,23306507.7558,23306061.887
20221114,4.5019,6.3821,5.2873,0.6524,1.3691,1.2851,1.5063,1.9079,1940591.8198,1940554.695,860090.6226,23190072.2466,23189628.6053
20221111,2.9591,6.1044,5.0572,0.624,1.3095,1.2291,1.5748,1.9948,1940591.8198,1940554.695,860090.6226,22180964.5003,22180540.1639
20221110,0.6418,5.8053,4.8094,0.5935,1.2454,1.1689,1.6559,2.0975,1940591.8198,1940554.695,860090.6226,21094233.0812,21093829.5347
20221109,0.9675,5.816,4.8183,0.5946,1.2476,1.1711,1.6529,2.0937,1940591.8198,1940554.695,860090.6226,21133044.9176,21132640.6286
20221108,0.6781,5.7946,4.8006,0.5924,1.2431,1.1668,1.659,2.1014,1940591.8198,1940554.695,860090.6226,21055421.2448,21055018.4408
20221107,1.1488,5.8107,4.8139,0.594,1.2465,1.17,1.6544,2.0956,1940591.8198,1940554.695,860090.6226,21113638.9994,21113235.0816
20221104,2.065,5.7786,4.7873,0.5907,1.2396,1.1636,1.6636,2.1072,1940591.8198,1940554.695,860090.6226,20997203.4902,20996801.7999
20221103,1.1435,5.5757,4.6192,0.57,1.1961,1.1227,1.7241,2.1839,1940591.8198,1940554.695,860090.6226,20259778.5987,20259391.0158
20221102,1.5149,5.6771,4.7033,0.5804,1.2179,1.1431,1.6933,2.1449,1940591.8198,1940554.695,860090.6226,20628491.0445,20628096.4079
20221101,1.6059,5.6985,4.721,0.5825,1.2224,1.1474,1.687,2.1368,1940591.8198,1940554.695,860090.6226,20706114.7173,20705718.5957
20221031,1.143,5.5223,4.5749,0.5645,1.1846,1.1119,1.7408,2.205,1940591.8198,1940554.695,860090.6226,20065719.4167,20065335.5463
