,ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
0,000001.SZ,20221025,20220930,1.78,1.78,7.1249,7.1249,4.1645,0.5556,9.4648,62000000.0,36597000000.0,,,,,,,,0.0273,27881000000.0,,,,,,,,,,,,,194455000000.0,1.8891,18.3161,4.77,10.0204,-1.7265,,,,26.5136,,,,26.5136,,26.4123,,,,33.4828,,8.9322,10.15,8.9171,,0.7247,,11.9096,,91.8119,12.2128,12.3247,,,,,,,,,11.2128,0.0892,,,,,0.0194,,0.9663,0.7247,11487000000.0,33.3505,,,3.4797,3.4759,0.2828,-125.3487,27.1429,27.1429,173.6111,25.7026,25.3486,25.8246,26.2,173.539,15.0206,9.2,5.5625,7.5701,8.7074,8.7074,8.7815,57.7661,9.3931
1,000001.SZ,20220818,20220630,1.03,1.03,4.742,4.742,4.1645,0.5556,8.7263,46000000.0,22042000000.0,,,,,,,,0.0183,16129000000.0,,,,,,,,,,,,,180122000000.0,1.1382,17.6314,7.75,9.2818,-0.9027,,,,24.003,,,,24.003,,26.46,,,,30.3851,,5.4704,5.97,5.459,,0.4404,,10.9408,,91.9335,12.397,12.4205,,,,,,,,,11.397,0.0877,,,,,0.032,,0.8808,0.4404,11788000000.0,30.1917,,,2.2579,2.2411,0.1807,7.3251,28.75,28.75,229.5987,24.7424,24.3588,25.6213,25.9,229.758,14.9811,5.1,3.8078,4.2104,8.6703,8.6703,6.8148,-28.88,9.2539
2,000001.SZ,20220818,20220630,1.03,1.03,4.7419,4.7419,4.1645,0.5555,8.7262,46000000.0,22042000000.0,,,,,,,,0.0183,16129000000.0,,,,,,,,,,,,,180122000000.0,1.1382,17.6314,7.75,9.2818,,,,,24.003,,,,24.003,,26.46,,,,30.3851,,5.4704,,5.459,,0.4404,,10.9408,,91.9335,12.397,12.4205,,,,,,,,,11.397,0.0877,,,,,,,0.8808,0.4404,11788000000.0,30.1917,,,2.2579,2.2411,0.1807,,28.75,28.75,229.5987,24.7424,24.3588,25.6213,25.9,,14.9811,5.1,3.8078,4.2104,8.6703,8.6703,6.8148,-28.88,9.2539
3,000001.SZ,20220427,20220331,0.56,0.56,2.3811,2.3811,4.1645,0.5556,8.4925,-23000000.0,12873000000.0,,,,,,,,0.0092,10985000000.0,,,,,,,,,,,,,175585000000.0,0.6622,17.3262,7.5816,9.048,4.1091,,,,27.8096,,,,27.8096,,26.1995,,,,35.3626,,3.206,3.27,3.2117,,0.256,,12.824,,92.0637,12.6003,12.5238,,,,,,,,,11.6004,0.0862,,,,,0.0312,,1.024,0.256,12082000000.0,35.025,,,3.206,3.2117,0.256,318.4085,33.3333,33.3333,1363.6,26.3826,25.7107,26.8259,27.3,1373.4961,16.3476,3.3,3.9942,2.7126,10.5748,10.5748,10.5748,78.4622,9.006
4,000001.SZ,20220427,20220331,,,2.3811,2.3811,4.1645,0.5555,8.4924,,,,,,,,,,0.0092,10973000000.0,,,,,,,,,,,,,175585000000.0,0.6622,17.3261,7.5815,9.048,4.109,,,,27.8096,,,,27.8096,,26.1995,,,,35.3626,,3.206,,,,0.256,,12.824,,92.0637,12.6003,12.5238,,,,,,,,,11.6004,0.0862,,,,,0.0312,,1.024,0.256,12082000000.0,35.025,,,3.206,,0.256,318.4085,33.3333,33.3333,1363.5833,26.3826,25.7107,26.8259,,1373.4961,16.3476,3.2951,3.9942,2.7126,10.5748,10.5748,10.5748,78.4622,9.006
5,000001.SZ,20220310,20211231,1.73,1.73,8.7284,8.7284,4.1645,0.5556,7.9552,106000000.0,36230000000.0,,,,,,,,0.0361,30105000000.0,,,,,,,,,,,,,165158000000.0,1.8724,16.7734,-9.93,8.5107,-2.7686,,,,21.452,,,,21.452,,28.301,,,,27.1485,,9.5674,10.85,9.5395,,0.7739,,9.5674,,91.9647,12.4451,12.362,,,,,,,,,11.4451,0.0874,,,,,-0.0426,,0.7739,0.7739,12532000000.0,27.086,,,1.8363,1.8457,0.1473,-158.6164,23.5714,23.5714,-1096.3855,24.5902,24.8272,25.6084,25.6,-1092.5809,15.661,10.6,10.1346,8.6005,10.317,10.317,14.103,-36.4784,8.6005
6,000001.SZ,20220310,20211231,1.73,1.73,8.7284,8.7284,4.1645,0.5555,7.9551,106000000.0,36230000000.0,,,,,,,,0.0361,30105000000.0,,,,,,,,,,,,,165158000000.0,1.8724,16.7734,-9.93,8.5107,-2.7686,,,,21.452,,,,21.452,,28.301,,,,27.1485,,9.5674,10.85,9.5395,,0.7739,,9.5674,,91.9647,12.4451,12.362,,,,,,,,,11.4451,0.0874,,,,,-0.0426,,0.7739,0.7739,12532000000.0,27.086,,,1.8363,1.8457,0.1473,-158.6164,23.5714,23.5714,-1096.3855,24.5902,24.8272,25.6084,25.6,-1092.5809,15.661,10.6,10.1346,8.6005,10.317,10.317,14.103,-36.4784,8.6005
7,000001.SZ,20211021,20210930,1.4,1.4,6.5542,6.5542,4.1645,0.5555,7.9357,143000000.0,28992000000.0,,,,,,,,0.0273,24747000000.0,,,,,,,,,,,,,164782000000.0,1.5013,16.4338,-6.48,8.4913,-0.2145,,,,22.9067,,,,22.9067,,27.8088,,,,28.9559,,7.7385,8.86,7.7005,,0.6251,,10.318,,91.9874,12.4803,12.3794,,,,,,,,,11.4803,0.0871,,,,,-0.0282,,0.8335,0.6251,11926000000.0,28.9229,,,3.016,2.9975,0.2413,-23.1381,26.1261,26.1261,-510.1,27.3346,27.6174,30.0786,29.9,-509.8247,20.014,8.4,8.606,6.7907,9.116,9.116,11.1779,51.9502,8.3861
8,000001.SZ,20210820,20210630,0.8,0.8,4.3636,4.3636,4.1645,0.5555,7.3812,72000000.0,17511000000.0,,,,,,,,0.0184,14570000000.0,,,,,,,,,,,,,154020000000.0,0.9061,15.8327,-5.98,7.9367,0.9877,,,,20.7641,,,,20.7641,,27.35,,,,26.4702,,4.7437,5.17,4.7243,,0.3826,,9.4874,,92.0146,12.5229,12.3995,,,,,,,,,11.5228,0.0868,,,,,-0.0267,,0.7652,0.3826,12084000000.0,26.3829,,,1.9874,1.9738,0.1603,-243.4463,21.2121,21.2121,-353.0303,26.9324,27.0313,28.5495,28.9,-351.8507,19.7581,4.4,5.7067,3.5872,8.1095,8.1095,6.1631,-26.6301,7.341
9,000001.SZ,20210820,20210630,,,4.3636,4.3636,4.1645,0.5555,7.3812,,,,,,,,,,0.0184,14570000000.0,,,,,,,,,,,,,154020000000.0,0.9061,15.8327,-5.9761,7.9367,0.9877,,,,20.7641,,,,20.7641,,27.35,,,,26.4702,,4.7437,,,,0.3826,,9.4874,,92.0146,12.5229,12.3995,,,,,,,,,11.5228,0.0868,,,,,-0.0267,,0.7652,0.3826,12084000000.0,26.3829,,,1.9874,,0.1603,-243.4463,21.2121,21.2121,-352.7348,26.9324,27.0313,28.5495,,-351.8507,19.7581,4.4401,5.7067,3.5872,8.1095,8.1095,6.1631,-26.6301,7.341
