,ts_code,end_date,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,000001.SZ,20220630,利息收入:发放贷款及垫款:公司贷款业务(产品),19770000000.0,,,CNY
1,000001.SZ,20220630,利息收入:金融投资利息收入(产品),16111000000.0,,,CNY
2,000001.SZ,20220630,利息收入:存放同业、拆放同业及买入返售金融资产(产品),2023000000.0,,,CNY
3,000001.SZ,20220630,利息收入:存放同业、拆放同业及买入返售金融资产,2023000000.0,,,CNY
4,000001.SZ,20220630,利息收入:金融投资,16111000000.0,,,CNY
5,000001.SZ,20220630,公司贷款和垫款,19770000000.0,,,CNY
6,000001.SZ,20220630,东区,12884000000.0,9887000000.0,2997000000.0,CNY
7,000001.SZ,20220630,南区,15253000000.0,11807000000.0,3446000000.0,CNY
8,000001.SZ,20220630,结算业务,1719000000.0,,,CNY
9,000001.SZ,20220630,非利息收入:手续费及佣金收入:银行卡业务(产品),9559000000.0,,,CNY
10,000001.SZ,20220630,非利息收入:手续费及佣金收入:其他(产品),4095000000.0,,,CNY
11,000001.SZ,20220630,非利息收入:手续费及佣金收入:代理委托业务(产品),4229000000.0,,,CNY
12,000001.SZ,20220630,利息收入:存放中央银行款项(产品),1799000000.0,,,CNY
13,000001.SZ,20220630,北区,10567000000.0,7710000000.0,2857000000.0,CNY
14,000001.SZ,20220630,票据贴现业务,2098000000.0,,,CNY
15,000001.SZ,20220630,西区,4780000000.0,3524000000.0,1256000000.0,CNY
16,000001.SZ,20220630,存放中央银行款项,1799000000.0,,,CNY
17,000001.SZ,20220630,手续费及佣金收入:其他,4095000000.0,,,CNY
18,000001.SZ,20220630,代理委托业务,4229000000.0,,,CNY
19,000001.SZ,20220630,利息收入:发放贷款及垫款:个人贷款业务(产品),70988000000.0,,,CNY
20,000001.SZ,20220630,利息收入:发放贷款及垫款:票据贴现业务(产品),2098000000.0,,,CNY
21,000001.SZ,20220630,其他业务,4095000000.0,,,CNY
22,000001.SZ,20220630,银行卡业务,9559000000.0,,,CNY
23,000001.SZ,20220630,总行,48149000000.0,33637000000.0,14512000000.0,CNY
24,000001.SZ,20220630,非利息收入:手续费及佣金收入:结算业务(产品),1719000000.0,,,CNY
25,000001.SZ,20220630,个人贷款和垫款,70988000000.0,,,CNY
26,000001.SZ,20220630,国外,389000000.0,241000000.0,148000000.0,CNY
27,000001.SZ,20211231,利息收入:存放中央银行款项(产品),3595000000.0,,,CNY
28,000001.SZ,20211231,个人贷款和垫款,130769000000.0,,,CNY
29,000001.SZ,20211231,金融企业往来,7253000000.0,,,CNY
30,000001.SZ,20211231,非利息收入:手续费及佣金收入:其他(产品),9102000000.0,,,CNY
31,000001.SZ,20211231,非利息收入:手续费及佣金收入:代理委托业务(产品),8575000000.0,,,CNY
