trade_date,ts_code,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
20221118,000001.SZ,333440,38827.7,202115,23554.12,236282,27516.28,211839,24685.77,202675,23610.0,279882,32589.34,95697,11153.89,174258,20278.64,-121414,-14096.92
20221117,000001.SZ,306819,35832.15,303457,35416.91,329844,38519.32,338315,39491.26,308327,35972.35,242138,28291.88,146057,17055.27,207137,24179.04,-324174,-37771.87
20221116,000001.SZ,313076,37194.8,313351,37241.33,356401,42339.38,350932,41680.88,394241,46833.76,342200,40663.83,214975,25545.45,272210,32327.35,-290231,-34334.15
20221115,000001.SZ,366495,44018.58,415932,49990.18,447336,53724.77,464329,55791.76,421690,50669.55,398162,47829.41,338380,40712.06,295478,35513.62,-59828,-7059.66
20221114,000001.SZ,720650,86346.25,839683,100711.22,979616,117451.85,980276,117491.62,1179595,141175.76,1067274,127848.2,992223,118808.48,984851,117731.3,655162,78876.05
20221111,000001.SZ,421544,47640.42,659295,74633.58,584378,66045.98,777173,87886.91,660428,74638.25,700870,79264.34,878720,99531.09,407732,46070.91,760170,86258.7
20221110,000001.SZ,162133,17525.03,124677,13487.94,175227,18942.55,173407,18764.37,136762,14791.35,170083,18390.31,77900,8432.73,83854,9049.03,-2144,-164.7
20221109,000001.SZ,259716,28424.85,184909,20253.09,242898,26587.6,231017,25312.18,196085,21480.19,223014,24410.97,133408,14622.73,193167,21139.13,-48994,-5251.86
20221108,000001.SZ,173054,18771.22,132251,14348.83,172158,18678.27,170042,18452.77,141330,15339.62,176788,19185.92,96680,10494.47,104142,11296.05,-73597,-7948.49
20221107,000001.SZ,221232,23969.5,173535,18812.3,323425,35043.26,285123,30901.07,290810,31513.31,228665,24778.49,152615,16529.42,300759,32563.61,12006,1368.08
20221104,000001.SZ,278266,29838.81,446919,47911.99,397763,42636.53,516690,55350.51,513025,55001.03,465721,49862.09,587059,62895.73,346782,37247.51,612100,65515.44
20221103,000001.SZ,325701,34069.43,178543,18667.43,299128,31290.49,328243,34327.95,216971,22699.6,282753,29590.96,141736,14830.9,193996,20304.09,-338521,-35387.69
20221102,000001.SZ,324684,34307.62,221905,23480.61,404188,42716.13,350627,37093.03,315456,33364.07,392650,41541.7,258661,27393.81,337806,35666.28,-413778,-43665.05
20221101,000001.SZ,324826,34304.18,308596,32628.69,347105,36665.06,476368,50298.78,385781,40739.16,372071,39319.19,323522,34267.44,224198,23729.18,175280,18531.21
20221031,000001.SZ,275038,28417.79,235601,24363.34,276541,28586.02,347942,35968.1,239388,24756.51,298017,30797.78,192129,19862.69,101535,10493.78,12645,1386.34
20221028,000001.SZ,328060,34580.42,256026,27038.46,333161,35123.84,322887,34024.04,269952,28467.46,314052,33073.87,126774,13328.22,164982,17363.55,-126833,-13248.93
20221027,000001.SZ,261227,27959.92,262456,28098.28,331065,35435.09,284149,30415.95,239857,25675.71,251622,26939.03,125234,13416.09,159156,17033.55,-109469,-11665.32
20221026,000001.SZ,326350,34822.19,305567,32612.32,337415,36001.75,330378,35257.23,285443,30462.92,307834,32861.01,194622,20786.48,200051,21342.76,-264512,-28170.89
20221025,000001.SZ,354103,37788.46,381134,40698.88,407645,43524.67,454784,48556.52,321081,34300.11,335645,35855.97,234151,25030.53,145417,15532.4,-129116,-13665.67
20221024,000001.SZ,497972,53865.14,292587,31690.43,434468,47001.96,449522,48609.6,322869,34941.76,446211,48146.43,128082,13795.53,195070,21157.94,-400654,-43355.65
20221021,000001.SZ,211662,23600.57,202100,22525.62,215707,24066.77,204699,22847.38,168451,18810.25,208534,23283.64,186540,20828.32,167026,18649.26,-257351,-28679.2
20221020,000001.SZ,220415,24712.07,141155,15829.11,247166,27720.43,188891,21188.7,185490,20813.49,273553,30688.76,128853,14450.73,178324,19990.14,-91398,-10198.8
20221019,000001.SZ,284194,32259.6,132265,15021.84,293202,33310.7,211177,23988.77,212323,24135.84,292979,33286.76,134271,15263.94,287568,32672.71,-281220,-31914.57
20221018,000001.SZ,222949,25688.69,164041,18921.01,272562,31413.69,245807,28344.62,261585,30169.17,275204,31722.6,189741,21893.11,261786,30176.43,23959,2853.36
20221017,000001.SZ,230816,26369.0,326722,37378.88,296887,33928.86,287669,32884.55,322009,36821.78,229917,26262.95,175110,20032.71,180515,20625.98,-368227,-42023.93
20221014,000001.SZ,190106,21953.1,257364,29718.91,288173,33278.87,363206,41932.59,366888,42358.69,313757,36217.91,250894,28958.0,161735,18679.25,69903,8123.71
20221013,000001.SZ,258841,29439.23,186382,21205.8,258842,29451.79,241739,27504.65,200125,22765.67,234271,26659.65,134808,15345.49,190224,21632.08,-283752,-32268.36
20221012,000001.SZ,143944,16475.59,147902,16964.91,160773,18427.22,174736,20037.79,146673,16836.95,158204,18137.68,108182,12437.89,78730,9037.27,1739,308.97
