trade_date,ggt_ss,ggt_sz,hgt,sgt,north_money,south_money
20221118,-1433.99,-1006.91,2209.35,2910.63,5119.98,-2440.9
20221117,1627.26,3550.77,501.73,906.99,1408.72,5178.03
20221116,2101.47,2233.54,955.63,42.72,998.35,4335.01
20221115,-209.79,464.82,3394.71,4759.52,8154.23,255.03
20221114,-2517.44,-1577.14,8303.2,8298.73,16601.93,-4094.58
20221111,-1719.94,632.49,8231.64,6434.43,14666.07,-1087.45
20221110,1477.36,2553.7,-24.46,-732.8,-757.26,4031.06
20221109,-803.72,110.16,-804.02,120.2,-683.82,-693.56
20221108,1305.23,2892.75,-1651.25,-2142.46,-3793.71,4197.98
20221107,2101.26,2797.63,-1545.56,-2486.05,-4031.61,4898.89
20221104,2801.24,3246.02,3775.1,6217.62,9992.72,6047.26
20221103,3123.6,4476.34,-2308.2,-2256.71,-4564.91,7599.94
20221102,3275.91,4396.61,-3570.74,-4010.99,-7581.73,7672.52
20221101,2850.12,4587.37,3492.78,2661.79,6154.57,7437.49
20221031,1798.44,3416.08,-6061.19,-2950.9,-9012.09,5214.52
20221028,2626.22,1654.23,737.55,-2769.06,-2031.51,4280.45
20221027,2308.76,3262.72,1458.36,-499.35,959.01,5571.48
20221026,3016.52,2043.1,153.33,3279.38,3432.71,5059.62
20221025,2846.61,3684.98,2255.95,588.97,2844.92,6531.59
20221024,3985.74,2705.23,-12206.73,-5704.79,-17911.52,6690.97
20221021,1149.47,2257.99,-4776.23,-4146.49,-8922.72,3407.46
20221020,3709.75,3360.02,-3743.56,-2479.83,-6223.39,7069.77
20221019,2151.92,2388.08,-4514.64,-1487.64,-6002.28,4540.0
20221018,1870.47,3260.04,-1928.01,-1828.57,-3756.58,5130.51
20221017,2776.12,2773.42,-2976.42,-1448.25,-4424.67,5549.54
20221014,2500.12,2542.74,4653.18,2818.81,7471.99,5042.86
20221013,2872.02,2142.32,-5456.89,-2578.05,-8034.94,5014.34
20221012,983.0,153.02,-5485.38,-390.2,-5875.58,1136.02
20221011,1737.1,1382.81,-2274.16,1030.0,-1244.16,3119.91
20221010,23.3,372.05,-381.52,1812.21,1430.69,395.35
20220930,,,243.12,-1544.12,-1301.0,
20220929,,,2016.76,1412.32,3429.08,
20220928,2766.93,3157.24,-1535.72,-2303.84,-3839.56,5924.17
20220927,932.55,-139.59,2530.01,742.46,3272.47,792.96
20220926,261.4,-390.45,1153.77,3122.81,4276.58,-129.05
20220923,1641.2,1174.03,680.83,-1186.42,-505.59,2815.23
20220922,1248.76,1786.4,-1293.39,-2355.17,-3648.56,3035.16
20220921,2118.12,2306.99,-2472.73,-587.08,-3059.81,4425.11
20220920,649.63,1105.77,-686.37,163.64,-522.73,1755.4
20220919,893.32,-2097.65,670.21,932.5,1602.71,-1204.33
20220916,1249.64,152.1,-1855.19,-2657.15,-4512.34,1401.74
20220915,1342.77,817.58,-1725.57,-2407.46,-4133.03,2160.35
20220914,2281.74,2681.54,-1353.8,-60.45,-1414.25,4963.28
20220913,1572.78,609.21,2156.9,1814.28,3971.18,2181.99
20220909,-264.49,83.87,8316.53,6436.7,14753.23,-180.62
20220908,-140.42,190.22,1939.52,-2026.11,-86.59,49.8
20220907,163.41,669.86,-937.62,-2436.0,-3373.62,833.27
20220906,-42.17,990.64,-439.22,-3459.9,-3899.12,948.47
20220905,1221.84,1662.64,-3765.41,-3849.58,-7614.99,2884.48
20220902,512.0,-834.11,-2760.86,-1022.05,-3782.91,-322.11
