trade_date,ts_code,close,open,high,low,pre_close,change,pct_change,vol,amount,adj_factor,open_hfq,open_qfq,close_hfq,close_qfq,high_hfq,high_qfq,low_hfq,low_qfq,pre_close_hfq,pre_close_qfq,macd_dif,macd_dea,macd,kdj_k,kdj_d,kdj_j,rsi_6,rsi_12,rsi_24,boll_upper,boll_mid,boll_lower,cci
20221118,000001.SZ,11.59,11.74,11.78,11.57,11.69,-0.1,-0.8554,868093.29,1011078.68,113.9362,1337.61099,11.74,1320.52056,11.59,1342.16844,11.78,1318.24183,11.57,1331.91418,11.69,0.071,-0.088,0.318,68.152,73.192,58.073,59.097,57.16,50.411,12.046,10.996,9.945,62.435
20221117,000001.SZ,11.69,11.81,11.84,11.58,11.82,-0.13,-1.0998,1091047.16,1273790.88,113.9362,1345.58652,11.81,1331.91418,11.69,1349.00461,11.84,1319.3812,11.58,1346.72588,11.82,0.057,-0.128,0.37,73.927,75.711,70.357,65.192,60.057,51.712,11.987,10.971,9.954,82.269
20221116,000001.SZ,11.82,11.97,12.05,11.79,12.01,-0.19,-1.582,1278692.88,1519133.93,113.9362,1363.81631,11.97,1346.72588,11.82,1372.93121,12.05,1343.3078,11.79,1368.37376,12.01,0.029,-0.174,0.406,79.443,76.604,85.122,73.393,63.918,53.429,11.914,10.946,9.978,127.685
20221115,000001.SZ,12.01,11.86,12.18,11.83,11.95,0.06,0.5021,1573901.34,1891249.65,113.9362,1351.28333,11.86,1368.37376,12.01,1387.74292,12.18,1347.86525,11.83,1361.53759,11.95,-0.021,-0.225,0.409,81.334,75.184,93.634,86.672,69.941,56.036,11.817,10.92,10.022,193.165
20221114,000001.SZ,11.95,11.7,12.28,11.7,11.43,0.52,4.5494,3872084.1,4637823.41,113.9362,1333.05354,11.7,1361.53759,11.95,1399.13654,12.28,1333.05354,11.7,1302.29077,11.43,-0.103,-0.276,0.346,79.106,72.109,93.101,86.006,69.098,55.377,11.685,10.893,10.101,282.011
20221111,000001.SZ,11.43,11.13,11.66,11.01,10.87,0.56,5.1518,2545070.55,2878557.39,113.9362,1268.10991,11.13,1302.29077,11.43,1328.49609,11.66,1254.43756,11.01,1238.48649,10.87,-0.2,-0.319,0.238,77.344,68.61,94.811,78.098,60.24,49.033,11.555,10.87,10.184,247.656
20221110,000001.SZ,10.87,10.79,10.9,10.69,10.89,-0.02,-0.1837,552021.19,596916.59,113.9362,1229.3716,10.79,1238.48649,10.87,1241.90458,10.9,1217.97798,10.69,1240.76522,10.89,-0.269,-0.349,0.16,74.862,64.244,96.099,55.559,44.55,40.269,11.578,10.875,10.171,75.599
20221109,000001.SZ,10.89,10.84,11.08,10.82,10.85,0.04,0.3687,832106.85,911153.62,113.9362,1235.06841,10.84,1240.76522,10.89,1262.4131,11.08,1232.78968,10.82,1236.20777,10.85,-0.296,-0.369,0.147,74.502,58.934,105.638,57.314,45.133,40.508,11.63,10.898,10.166,103.049
20221108,000001.SZ,10.85,10.89,10.92,10.78,10.88,-0.03,-0.2757,583222.05,632835.81,113.9362,1240.76522,10.89,1236.20777,10.85,1244.1833,10.92,1228.23224,10.78,1239.62586,10.88,-0.328,-0.388,0.12,72.8,51.15,116.099,54.942,43.784,39.825,11.727,10.934,10.14,49.878
20221107,000001.SZ,10.88,10.81,10.91,10.73,10.82,0.06,0.5545,988082.04,1070554.83,113.9362,1231.65032,10.81,1239.62586,10.88,1243.04394,10.91,1222.53543,10.73,1232.78968,10.82,-0.359,-0.403,0.087,64.2,40.326,111.949,56.919,44.536,40.156,11.792,10.965,10.138,25.819
