trade_date,ts_code,up_limit,down_limit
20221118,000001.SZ,12.86,10.52
20221117,000001.SZ,13.0,10.64
20221116,000001.SZ,13.21,10.81
20221115,000001.SZ,13.15,10.76
20221114,000001.SZ,12.57,10.29
20221111,000001.SZ,11.96,9.78
20221110,000001.SZ,11.98,9.8
20221109,000001.SZ,11.94,9.77
20221108,000001.SZ,11.97,9.79
20221107,000001.SZ,11.9,9.74
20221104,000001.SZ,11.48,9.4
20221103,000001.SZ,11.69,9.57
20221102,000001.SZ,11.74,9.6
20221101,000001.SZ,11.37,9.31
20221031,000001.SZ,11.46,9.38
20221028,000001.SZ,11.75,9.61
20221027,000001.SZ,11.73,9.59
20221026,000001.SZ,11.72,9.59
20221025,000001.SZ,11.68,9.56
20221024,000001.SZ,12.2,9.98
20221021,000001.SZ,12.32,10.08
20221020,000001.SZ,12.42,10.16
20221019,000001.SZ,12.63,10.33
20221018,000001.SZ,12.63,10.33
20221017,000001.SZ,12.68,10.38
20221014,000001.SZ,12.47,10.21
20221013,000001.SZ,12.76,10.44
20221012,000001.SZ,12.63,10.33
20221011,000001.SZ,12.62,10.32
20221010,000001.SZ,13.02,10.66
20220930,000001.SZ,13.05,10.67
20220929,000001.SZ,13.32,10.9
20220928,000001.SZ,13.37,10.94
20220927,000001.SZ,13.2,10.8
20220926,000001.SZ,13.52,11.06
20220923,000001.SZ,13.52,11.06
20220922,000001.SZ,13.67,11.19
20220921,000001.SZ,13.57,11.11
20220920,000001.SZ,13.83,11.31
20220919,000001.SZ,13.82,11.3
20220916,000001.SZ,14.3,11.7
20220915,000001.SZ,14.0,11.46
20220914,000001.SZ,14.25,11.66
20220913,000001.SZ,13.99,11.45
20220909,000001.SZ,13.6,11.12
20220908,000001.SZ,13.56,11.1
20220907,000001.SZ,13.75,11.25
20220906,000001.SZ,13.83,11.31
20220905,000001.SZ,13.76,11.26
20220902,000001.SZ,13.87,11.35
20220901,000001.SZ,14.03,11.48
20220831,000001.SZ,13.73,11.23
20220830,000001.SZ,13.66,11.18
20220829,000001.SZ,13.87,11.35
20220826,000001.SZ,13.88,11.36
20220825,000001.SZ,13.64,11.16
20220824,000001.SZ,13.57,11.11
20220823,000001.SZ,13.75,11.25
20220822,000001.SZ,13.83,11.31
20220819,000001.SZ,13.48,11.03
20220818,000001.SZ,13.64,11.16
20220817,000001.SZ,13.34,10.92
20220816,000001.SZ,13.32,10.9
20220815,000001.SZ,13.62,11.14
