ts_code,name,industry,trade_date,close,ma3,ma5,ma10,ma15,ma20,ma30,ma50,ma60,ma75,ma90,ma120,ma150,ma200,price_1_150,price_1_200,price_150_200,price_50_150,price_50_200,price_max_25,price_min_25,score
603658.SH,安图生物,医疗保健,20221202,59.73,60.18,60.482,61.248,62.244,63.3765,66.454,63.403,60.8903,58.1188,56.0332,53.8095,51.7576,50.5848,1,1,1,1,1,1,1,7
300706.SZ,阿石创,元器件,20221202,25.77,25.88,26.27,27.188,27.2247,27.195,26.1247,24.1932,24.0735,24.4613,24.9198,24.5557,23.492,23.4728,1,1,1,1,1,1,1,7
300703.SZ,创源股份,文教休闲,20221202,10.68,10.4433,10.458,10.726,10.89,10.9475,10.625,10.5402,10.661,10.7392,10.633,10.3502,9.9592,9.893,1,1,1,1,1,1,1,7
300700.SZ,岱勒新材,矿物制品,20221202,38.76,37.8133,37.55,38.244,37.5787,37.57,36.746,34.6026,34.563,34.9111,34.9842,33.9018,31.1936,28.3175,1,1,1,1,1,1,1,7
300699.SZ,光威复材,化纤,20221202,72.55,72.1133,71.87,72.784,72.866,73.009,74.512,77.1606,78.3078,77.5325,76.4474,72.3972,68.3465,66.7732,1,1,1,1,1,1,1,7
300698.SZ,万马科技,通信设备,20221202,25.56,24.9933,24.86,25.665,26.3687,27.379,26.995,26.3608,26.0993,25.6744,24.3179,22.2173,20.7106,20.543,1,1,1,1,1,1,1,7
300693.SZ,盛弘股份,电气设备,20221202,58.92,56.9467,56.238,55.877,54.7933,55.238,55.9267,50.1428,48.5927,46.4265,44.4076,40.7433,37.0483,34.9535,1,1,1,1,1,1,1,7
300687.SZ,赛意信息,软件服务,20221202,32.28,32.0567,31.244,31.289,30.3673,29.8305,29.4727,27.5484,26.8413,26.5115,26.1484,25.4157,24.7053,24.6078,1,1,1,1,1,1,1,7
002112.SZ,三变科技,电气设备,20221202,8.22,8.11,8.216,8.422,8.5573,8.383,8.176,7.7504,7.909,7.9831,7.949,7.6321,7.1551,6.9397,1,1,1,1,1,1,1,7
300673.SZ,佩蒂股份,饲料,20221202,19.09,18.6067,18.262,17.95,18.066,18.25,18.25,19.8956,20.35,20.4515,19.7733,19.1648,18.5406,17.8775,1,1,1,1,1,1,1,7
300654.SZ,世纪天鸿,出版业,20221202,10.24,10.2567,10.174,10.161,10.098,10.0355,9.9547,10.0132,10.0522,10.0688,9.8914,9.5254,9.2143,9.133,1,1,1,1,1,1,1,7
688210.SH,统联精密,元器件,20221202,24.98,24.5367,24.346,24.728,25.2847,25.604,26.3347,25.0176,24.988,25.0284,24.8213,24.1446,23.1574,22.8669,1,1,1,1,1,1,1,7
300634.SZ,彩讯股份,软件服务,20221202,17.53,17.4567,17.444,17.858,18.3173,18.4875,18.6663,16.755,16.1883,15.5669,15.1157,14.4533,13.8572,13.8056,1,1,1,1,1,1,1,7
300633.SZ,开立医疗,医疗保健,20221202,51.88,51.41,50.756,51.23,51.4713,51.729,53.1907,50.9172,49.0547,47.0915,45.6524,42.2703,38.8788,36.225,1,1,1,1,1,1,1,7
002121.SZ,科陆电子,电器仪表,20221202,10.56,9.87,9.68,9.566,9.5187,9.6205,9.7727,9.2998,9.1553,9.1288,9.1302,8.6502,7.9322,7.1503,1,1,1,1,1,1,1,7
