ts_code,market,name,industry,trade_date,close,ma3,ma5,ma10,ma15,ma20,ma30,ma50,ma60,ma75,ma90,ma120,ma150,ma200,score1_3,score1_5,score1_10,score3_5,score3_10,score3_15,score3_20,score3_30,score5_10,score5_20,score5_30,week_score,month_score
000045.SZ,主板,深纺织A,元器件,20221202,11.6,11.4767,11.412,10.979,10.2853,9.996,9.409,8.9084,8.9003,9.0467,8.7801,8.4232,8.0934,8.063,0.9564660090975882,0.8376359577288714,0.8986415514652493,0.8757613441163151,0.9395436355475972,1.242703803967763,1.330123886798604,1.6954169968383028,1.0728306768274198,1.5188200481042726,1.9359349533166017,1.1571,3.4102
000059.SZ,主板,华锦股份,石油加工,20221202,8.72,8.3867,8.318,8.193,8.0387,7.9085,7.6267,7.4906,7.5755,7.5199,7.2386,6.9245,6.7327,6.6871,1.752006272484088,1.8028095486687865,1.7170352022274862,1.0289971999430498,0.9800394149234304,0.9075206768385924,0.910281707880264,0.8748703753767689,0.9524218481621438,0.8846299172929176,0.8502164781645557,0.9092,1.1339
000159.SZ,主板,国际实业,石油贸易,20221202,9.5,9.3867,9.346,9.131,9.0233,8.925,8.778,8.5898,8.66,8.6669,8.5354,8.0574,7.5459,7.2435,1.0517822308920022,0.9268872749590834,0.8888625485876376,0.8812539779959991,0.8451013170604768,0.953063588788608,0.9212204920284852,0.7657967414533211,0.9589758890873497,1.0453518679409213,0.8689852875271763,0.9212,0.6846
000421.SZ,主板,南京公用,供气供热,20221202,5.83,5.8467,5.616,5.342,5.2447,5.145,4.9987,5.1382,5.3193,5.3775,5.3611,5.2174,5.0827,5.0432,0.8282161016117316,1.1473963050295224,1.912768489657127,1.3853827555352487,2.3095041088126957,2.8870273915926568,3.3479846136909237,3.890141192852407,1.667051289317087,2.4166495506849404,2.807990194269044,5.0069,1.0928
000428.SZ,主板,华天酒店,酒店餐饮,20221202,5.46,5.4167,5.346,4.931,5.0127,4.966,4.706,4.5882,4.5308,4.4287,4.3733,4.3363,4.1812,4.1231,0.7829644322228733,0.7123587694446752,1.0110401056532108,0.9098226434402068,1.2912976171635535,1.0766702239382333,1.1385816233500852,1.3146874076291044,1.419284985347166,1.2514324979260778,1.4449930622280729,2.444,1.7038
000557.SZ,主板,西部创业,铁路,20221202,5.5,5.3167,5.248,5.185,5.2027,5.225,5.1977,5.1252,5.1805,5.1408,5.0309,4.9471,4.7879,4.7486,1.5708072905284325,2.0124143260314478,2.6484275686729672,1.2811338081799042,1.6860295878700784,1.7436135837093036,1.7544707217570017,1.558403520184183,1.3160448792350632,1.369467194257845,1.2164252556867527,1.9242,0.8071
000600.SZ,主板,建投能源,火力发电,20221202,5.97,5.9,5.918,5.81,5.6427,5.5525,5.4453,5.2094,5.172,5.1548,5.1203,5.0591,4.8872,4.7431,1.084472288302132,0.9250166360831604,0.8455438906124537,0.8529647516686496,0.7796823392659035,0.9913257713354972,1.1212223624875337,1.124529777439065,0.9140850635862922,1.3145002302780897,1.3183777820116884,0.8418,0.9863
000657.SZ,主板,中钨高新,小金属,20221202,16.28,16.0367,15.63,15.817,15.8547,15.7825,15.512,14.5328,14.3415,14.4375,14.8407,14.9988,14.3495,13.7817,0.8896106483879966,1.087441543257989,1.1935518366037534,1.222379189399844,1.3416564187563491,1.2986885279839353,1.3409107911977518,1.3362408673610666,1.0975779286745444,1.096967948101361,1.093147591965408,1.2163,1.1081
000663.SZ,主板,永安林业,林业,20221202,8.6,8.63,8.596,8.614,8.612,8.444,8.0617,8.0396,8.175,8.4159,8.5673,8.2548,7.9129,7.7699,0.87538987825737,0.8124323011989693,0.6444146532952137,0.928080528891047,0.7361458811678787,0.5081530816058025,0.4787860540735833,0.5617433505276999,0.7931918171448885,0.5158884807611247,0.6052743625587327,0.6573,1.3656
000688.SZ,主板,国城矿业,铅锌,20221202,18.2,18.67,18.796,18.649,18.5193,18.4645,17.8533,17.8194,18.1735,18.382,18.4429,17.9693,17.432,17.1607,1.205645618410611,1.2513678562603692,1.0577037832676932,1.0379234471154413,0.8772924374428134,0.8182442209936551,0.7137510974095066,0.7947885084087559,0.8452380952380953,0.6876721972060055,0.7657486788814754,0.732,1.7358
000702.SZ,主板,正虹科技,饲料,20221202,6.5,6.4233,6.338,6.223,6.232,6.2055,6.059,6.1272,6.263,6.3549,6.2881,6.1527,5.9053,5.7512,0.9538370720188905,1.0781284588610427,1.2342919691892085,1.1303067268910794,1.2940280949415268,1.2577391267889089,1.2490170897355324,1.236936102659082,1.1448468492271693,1.1050249105134209,1.094336672720057,1.3388,0.8786
000729.SZ,主板,燕京啤酒,啤酒,20221202,10.21,10.1533,10.072,10.019,10.2373,10.371,9.9867,9.742,9.61,9.4607,9.2811,9.1933,8.7487,8.4194,0.8185251915688019,0.8272779927862464,1.016613284156718,1.010693380371921,1.2420061039395216,1.2118685088337735,1.142020642989329,1.1643930834540264,1.2288653790158208,1.1299377884211348,1.1520735230555743,1.5936,1.2357
