ts_code,industry,name,trade_date,ma1,ma3,ma5,ma10,ma15,ma20,ma30,ma45,ma60,score1_3,score1_5,score1_10,score3_5,score3_10,score3_15,score3_20,score3_30,score5_10,score5_20,score5_30,week_score,month_score,turnover_rate_score
601858.SH,出版业,中国科传,20221202,7.2013,7.3489,4.539960000000001,3.09898,2.171533333333334,1.7097250000000002,1.2649933333333334,0.9059400000000001,0.7845150000000001,0.9799153614826708,1.586203402673151,2.3237645935114135,1.618714702332179,2.3713931680746567,3.3841985693672667,4.298293585225694,5.809437730897132,1.4649852532123475,2.6553744023161623,3.5889200997106707,2.7382,6.2639,86.3534
000006.SZ,区域地产,深振业A,20221202,25.7145,16.923133333333336,13.37818,7.51772,5.4205466666666675,4.29734,3.1561999999999997,2.354637777777778,2.075156666666667,1.519488116857792,1.9221224411691276,3.4205184550635037,1.2649802389662372,2.2510991807799887,3.122034431951513,3.938048498218278,5.361869758992883,1.7795528431492529,3.113130448137685,4.2386984348266905,8.0725,5.3755,84.4883
000888.SZ,旅游景点,峨眉山A,20221202,26.8217,27.5249,19.06262,10.25355,7.718846666666666,6.594289999999999,5.416440000000001,4.240684444444444,3.6581783333333333,0.9744522232596667,1.4070311426236268,2.6158452438423763,1.4439200907325436,2.6844263694037673,3.565934288974087,4.174050580123107,5.081732650966317,1.8591239131812882,2.8907767174328094,3.5194001964389887,13.1969,2.9026,76.4252
002398.SZ,其他建材,垒知集团,20221202,7.0233,13.2433,9.34886,5.21129,3.8659866666666667,3.164925,2.4243566666666667,2.027688888888889,1.9656166666666666,0.5303285434899156,0.751246676065317,1.3477085328200886,1.4165684372212226,2.541270971295015,3.42559381132544,4.184396154727205,5.462603824794757,1.7939627232412705,2.9538962218693965,3.856223025489924,8.707,2.9782,75.6803
002420.SZ,家用电器,毅昌科技,20221202,35.5414,24.822100000000006,17.888920000000006,11.48297,8.42222,6.701205,5.25882,4.2448822222222224,3.3336916666666667,1.4318450090846462,1.986782880129152,3.0951400203954207,1.387568394290991,2.1616445919479026,2.9472158172073404,3.7041248551566484,4.720089297599082,1.5578652561140547,2.6695079467051084,3.401698479887124,3.5235,2.4807,75.2792
600429.SH,乳制品,三元股份,20221202,5.9023,2.4969333333333332,1.6003,0.92097,0.6909333333333333,0.57789,0.4659633333333334,0.37605777777777777,0.3455833333333333,2.363819618732312,3.688245953883647,6.408786388264548,1.560290778812306,2.711199423795925,3.6138556541875726,4.320776156938748,5.3586476761404676,1.7376244611659448,2.7692121337970894,3.434390402678322,6.6227,2.706,75.2302
002187.SZ,百货,广百股份,20221202,18.5843,10.049966666666666,6.4044,3.68593,3.08818,2.6641300000000006,1.9314933333333335,1.4702888888888888,1.3994149999999999,1.849190212902862,2.901801886203235,5.041956846711685,1.569228447109279,2.7265755634715436,3.254333188695823,3.77232592503619,5.203210641852245,1.7375262145510089,2.4039367448285174,3.3157763940854053,6.6198,6.2476,74.5371
600675.SH,区域地产,中华企业,20221202,1.424,1.8904333333333332,1.3549,0.7937500000000001,0.6037866666666667,0.49734000000000006,0.38089333333333336,0.3008244444444444,0.27493333333333336,0.7532664468464021,1.0510000738061849,1.7940157480314958,1.3952567225133465,2.3816482939632544,3.1309623708152987,3.801088457259285,4.963156789302341,1.7069606299212596,2.7242932400369964,3.5571638603983615,5.825,3.6558,74.533
300898.SZ,乳制品,熊猫乳品,20221202,37.4141,20.400566666666666,13.134519999999998,7.44785,5.745153333333333,4.777495,3.853716666666666,3.120384444444444,2.8930050000000005,1.8339735660937522,2.848531960056401,5.023476573776325,1.5532022994876606,2.739121580948417,3.55091770106513,4.2701387791440215,5.293738079689305,1.76353175748706,2.7492482985330176,3.4082733984075984,7.4578,2.8397,74.2907
600266.SH,区域地产,城建发展,20221202,7.4878,9.744133333333332,6.44872,3.64548,2.7830266666666663,2.338045,1.9108599999999998,1.5285022222222222,1.3714699999999995,0.7684418658748513,1.1611296505353002,2.0539956329481988,1.5110182072307887,2.67293561707466,3.5012719964355354,4.167641483946345,5.099344448747336,1.7689632092344492,2.758167614395788,3.3747736621207207,7.6566,2.5497,74.1047
600624.SH,化学制药,复旦复华,20221202,6.2236,8.159733333333334,6.46742,3.9476900000000006,3.0005000000000006,2.4801949999999997,1.9021233333333332,1.478271111111111,1.2239933333333333,0.7627210039543776,0.9623002681130962,1.5765168997565664,1.2616674552345966,2.0669640557727007,2.7194578681330883,3.2899563676780796,4.289802448842259,1.638279601488465,2.6076256100830784,3.400105496138526,4.5291,3.5162,72.4778
600051.SH,综合类,宁波联合,20221202,14.0192,14.080133333333334,10.68562,5.99602,4.496393333333333,3.7104950000000003,2.99806,2.419573333333333,2.3201966666666665,0.9956723894660088,1.3119687954465908,2.338084262560832,1.3176711630521518,2.3482465591064297,3.131428300311806,3.7946778888890385,4.696414792677042,1.782118805474298,2.879836787275013,3.564178168548995,8.1793,2.7143,71.2648
